ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
16	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153176375	153176453	153176582	153176643	153176153	153176288	153178153	153178256	16	68,55	56,78			160	177	NA	NA	0.573,0.438		NA
17	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153184285	153184507	153186549	153186612	153179231	153179333	153186817	153186980	17	9,18	117,141			162	198	NA	NA	0.086,0.135		NA
18	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186549	153186612	153186817	153186980	153179231	153179333	153187057	153187262	18	1,12	1,0			198	162	NA	NA	0.45,1.0		NA
19	"ENSG00000089820.16_7"	"ARHGAP4"	chrX	-	153186549	153186612	153186817	153186980	153186079	153186262	153187057	153187262	19	1,12	13,23			198	162	NA	NA	0.059,0.299		NA
20	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153052918	153053052	153053277	153053410	153052505	153052608	153053529	153053590	20	583,548	383,258			198	198	NA	NA	0.604,0.68		NA
21	"ENSG00000067829.19_6"	"IDH3G"	chrX	-	153056018	153056030	153056250	153056306	153055649	153055747	153059700	153059811	21	45,94	27,17			155	111	NA	NA	0.544,0.798		NA
22	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152719966	152720999	152721224	152713123	152713367	152721722	152721822	22	218,189	152,112			198	198	NA	NA	0.589,0.628		NA
23	"ENSG00000213397.10_7"	"HAUS7"	chrX	-	152719851	152719966	152720999	152721106	152713127	152713367	152721722	152721751	23	7,12	152,112			198	198	NA	NA	0.044,0.097		NA
24	"ENSG00000183479.8"	"TREX2"	chrX	-	152730445	152730513	152734603	152734719	152728067	152728129	152735907	152736045	24	221,124	201,164			198	167	NA	NA	0.481,0.389		NA
25	"ENSG00000166049.11_5"	"PASD1"	chrX	+	150773117	150773206	150780135	150780225	150769998	150770053	150789401	150789501	25	40,50	31,48			188	189	NA	NA	0.565,0.512		NA
26	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149880813	149880837	149882950	149883001	149867667	149867773	149887096	149887172	26	13,9	0,0			123	150	NA	NA	1.0,1.0		NA
27	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149881201	149881225	149881415	149881442	149880813	149880837	149882950	149883001	27	0,0	0,0			123	126	NA	NA	NA,NA		NA
28	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149881415	149881442	149882950	149883001	149880813	149880837	149887096	149887172	28	0,0	0,0			126	150	NA	NA	NA,NA		NA
29	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149881415	149881442	149882950	149883004	149880813	149880837	149887096	149887172	29	0,0	0,0			126	153	NA	NA	NA,NA		NA
30	"ENSG00000063601.17_7"	"MTMR1"	chrX	+	149919201	149919315	149924160	149924337	149912832	149912925	149931037	149931210	30	89,56	38,43			198	198	NA	NA	0.701,0.566		NA
31	"ENSG00000171100.15_7"	"MTM1"	chrX	+	149767055	149767150	149783061	149783172	149764961	149765034	149787510	149787612	31	70,58	69,51			194	198	NA	NA	0.509,0.537		NA
32	"ENSG00000235703.6_8"	"LINC00894"	chrX	+	149109274	149109457	149111868	149111980	149108876	149109104	149112235	149112318	32	4,1	6,6			198	198	NA	NA	0.4,0.143		NA
33	"ENSG00000235703.6_8"	"LINC00894"	chrX	+	149110401	149110547	149111868	149111980	149110007	149110065	149112235	149112318	33	1,0	9,5			198	198	NA	NA	0.1,0.0		NA
34	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139795593	139795654	139795681	139798454	139793785	139793821	139816042	139816129	34	0,0	0,0			160	198	NA	NA	NA,NA		NA
35	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139795593	139795654	139813087	139813209	139793785	139793821	139816042	139816129	35	0,0	0,0			160	198	NA	NA	NA,NA		NA
36	"ENSG00000203930.12_5"	"LINC00632"	chrX	+	139795681	139798454	139813087	139813209	139793785	139793821	139816042	139816129	36	0,0	0,0			198	198	NA	NA	NA,NA		NA
37	"ENSG00000101974.14_6"	"ATP11C"	chrX	-	138856848	138857112	138864705	138864887	138850418	138850593	138865322	138865426	37	172,97	124,85			198	198	NA	NA	0.581,0.533		NA
38	"ENSG00000129680.16_7"	"MAP7D3"	chrX	-	135301751	135301830	135302923	135303122	135301556	135301654	135304551	135304645	38	281,162	137,74			198	178	NA	NA	0.648,0.663		NA
39	"ENSG00000156500.15_6"	"FAM122C"	chrX	+	133981912	133982001	133983196	133983258	133981412	133981505	133986829	133986926	39	0,0	0,0			188	161	NA	NA	NA,NA		NA
40	"ENSG00000156504.16_4"	"FAM122B"	chrX	-	133915850	133915947	133919915	133919977	133903595	133906313	133921501	133921563	40	118,99	212,192			161	196	NA	NA	0.404,0.386		NA
41	"ENSG00000156504.16_4"	"FAM122B"	chrX	-	133915850	133915947	133919915	133919980	133903596	133906313	133921501	133921563	41	158,105	212,192			164	196	NA	NA	0.471,0.395		NA
42	"ENSG00000134602.16_4"	"STK26"	chrX	+	131188658	131188889	131197460	131197517	131157535	131157687	131202242	131202351	42	132,118	286,173			198	156	NA	NA	0.267,0.35		NA
43	"ENSG00000213468.7_10"	"FIRRE"	chrX	-	130837444	130837546	130843525	130843584	130829871	130829941	130883333	130883486	43	2,3	1,0			158	198	NA	NA	0.715,1.0		NA
44	"ENSG00000213468.7_10"	"FIRRE"	chrX	-	130919184	130919286	130928021	130928143	130917914	130918067	130928324	130928494	44	20,9	20,13			198	198	NA	NA	0.5,0.409		NA
45	"ENSG00000165675.16_7"	"ENOX2"	chrX	-	129803938	129804172	129813515	129813722	129801503	129801716	129822836	129822992	45	195,111	103,68			198	198	NA	NA	0.654,0.62		NA
46	"ENSG00000156697.13_7"	"UTP14A"	chrX	+	129044983	129045126	129045741	129045897	129042645	129042710	129053150	129053270	46	380,266	774,523			198	198	NA	NA	0.329,0.337		NA
47	"ENSG00000125675.18_8"	"GRIA3"	chrX	+	122599524	122599639	122613913	122614028	122598715	122598963	122616649	122616897	47	0,0	0,0			198	198	NA	NA	NA,NA		NA
48	"ENSG00000005893.16_5"	"LAMP2"	chrX	-	119576453	119576517	119580159	119580282	119575584	119575749	119581695	119581880	48	908,595	363,365			198	163	NA	NA	0.673,0.573		NA
49	"ENSG00000018610.15_5"	"CXorf56"	chrX	-	118678315	118678454	118679425	118679467	118676467	118676557	118694230	118694348	49	133,122	469,295			141	198	NA	NA	0.285,0.367		NA
50	"ENSG00000131725.14_6"	"WDR44"	chrX	+	117570664	117570787	117575330	117575522	117566743	117566857	117576206	117576308	50	76,55	180,99			198	198	NA	NA	0.297,0.357		NA
51	"ENSG00000130224.15_5"	"LRCH2"	chrX	-	114361405	114361456	114364717	114364762	114358507	114358565	114384389	114384506	51	26,11	21,13			144	150	NA	NA	0.563,0.468		NA
52	"ENSG00000157600.12_6"	"TMEM164"	chrX	+	109246728	109247392	109310574	109310624	109246322	109246384	109352307	109352374	52	20,11	98,91			198	149	NA	NA	0.133,0.083		NA
53	"ENSG00000157600.12_6"	"TMEM164"	chrX	+	109310574	109310624	109352307	109352374	109246728	109247392	109388025	109388104	53	108,98	221,159			149	166	NA	NA	0.353,0.407		NA
54	"ENSG00000157600.12_6"	"TMEM164"	chrX	+	109352307	109352374	109388025	109388104	109310574	109310624	109414647	109414739	54	133,92	331,227			166	178	NA	NA	0.301,0.303		NA
55	"ENSG00000147224.12_5"	"PRPS1"	chrX	+	106882524	106882708	106884131	106884230	106871739	106871980	106885595	106885720	55	941,668	586,489			198	198	NA	NA	0.616,0.577		NA
56	"ENSG00000123560.14_8"	"PLP1"	chrX	+	103034776	103034918	103035730	103035838	103031801	103031927	103040510	103040697	56	0,0	0,0			198	198	NA	NA	NA,NA		NA
57	"ENSG00000223546.7_8"	"LINC00630"	chrX	+	102071919	102072010	102080920	102081097	102025279	102025348	102081896	102082072	57	37,27	86,41			190	198	NA	NA	0.31,0.407		NA
58	"ENSG00000223546.7_8"	"LINC00630"	chrX	+	102100784	102100948	102119969	102120080	102094728	102094791	102139070	102140334	58	5,3	29,20			198	198	NA	NA	0.147,0.13		NA
59	"ENSG00000284800.1_5"	"AC235565.2"	chrX	-	101693473	101693595	101711727	101711835	101634914	101635010	101712593	101712733	59	0,0	0,0			198	198	NA	NA	NA,NA		NA
60	"ENSG00000010671.16_4"	"BTK"	chrX	-	100626620	100626689	100629523	100629622	100624985	100625067	100630131	100630272	60	293,175	405,285			198	168	NA	NA	0.38,0.343		NA
61	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100276956	100277051	100278458	100278605	100276089	100276304	100290601	100290672	61	186,104	177,117			198	194	NA	NA	0.507,0.466		NA
62	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100292905	100293040	100296305	100296360	100291962	100292062	100297030	100297301	62	51,26	141,86			154	198	NA	NA	0.317,0.28		NA
63	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100296305	100296360	100297030	100297301	100292905	100293040	100306239	100306722	63	18,20	63,56			198	154	NA	NA	0.182,0.217		NA
64	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100296305	100296360	100297221	100297301	100292905	100293040	100306772	100307071	64	37,31	69,59			179	154	NA	NA	0.316,0.311		NA
65	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100296305	100296360	100297030	100297301	100292905	100293040	100306772	100307105	65	38,34	69,59			198	154	NA	NA	0.3,0.309		NA
66	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100296305	100296360	100306239	100306722	100292905	100293040	100306805	100307100	66	14,8	66,56			198	154	NA	NA	0.142,0.1		NA
67	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100297030	100297301	100306239	100306355	100296305	100296360	100306632	100306722	67	3,2	66,45			198	198	NA	NA	0.043,0.043		NA
68	"ENSG00000188917.15_6"	"TRMT2B"	chrX	-	100297030	100297301	100306239	100306722	100296305	100296360	100306805	100307100	68	13,10	75,58			198	198	NA	NA	0.148,0.147		NA
69	"ENSG00000184788.13_5"	"SATL1"	chrX	-	84373343	84373461	84397615	84397768	84372496	84372554	84397846	84398024	69	0,0	0,0			198	198	NA	NA	NA,NA		NA
70	"ENSG00000165259.14_6"	"HDX"	chrX	-	83730258	83730405	83743031	83743140	83723479	83724583	83757349	83757461	70	0,0	0,0			198	198	NA	NA	NA,NA		NA
71	"ENSG00000165240.20_6"	"ATP7A"	chrX	+	77178495	77178539	77218119	77218311	77166235	77166332	77227117	77227258	71	27,17	34,19			143	198	NA	NA	0.524,0.553		NA
72	"ENSG00000131269.19_9"	"ABCB7"	chrX	-	74296356	74296489	74318776	74318896	74295196	74295465	74332720	74332807	72	85,93	95,90			198	198	NA	NA	0.472,0.508		NA
73	"ENSG00000225470.8_6"	"JPX"	chrX	+	73164418	73164497	73214674	73214796	73164175	73164300	73218602	73218679	73	199,228	37,38			178	198	NA	NA	0.857,0.87		NA
74	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73182565	73182636	73164418	73164497	73214674	73214796	74	194,159	25,25			198	170	NA	NA	0.869,0.845		NA
75	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73182569	73182636	73164418	73164497	73214674	73214796	75	194,159	21,16			198	166	NA	NA	0.886,0.893		NA
76	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73204278	73204376	73164418	73164497	73214674	73214796	76	194,159	5,7			198	197	NA	NA	0.975,0.958		NA
77	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73182565	73182636	73164418	73164497	73218602	73218679	77	192,157	8,11			198	170	NA	NA	0.954,0.925		NA
78	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73182569	73182636	73164418	73164497	73218602	73218679	78	192,157	6,2			198	166	NA	NA	0.964,0.985		NA
79	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73204278	73204376	73164418	73164497	73218602	73218679	79	192,157	4,6			198	197	NA	NA	0.979,0.963		NA
80	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73214674	73214796	73164418	73164497	73218602	73218679	80	192,157	158,122			198	198	NA	NA	0.549,0.563		NA
81	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73214698	73214796	73164418	73164497	73218602	73218679	81	192,157	37,38			198	197	NA	NA	0.838,0.804		NA
82	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73182569	73182636	73164418	73164497	73219189	73220331	82	190,156	5,2			198	166	NA	NA	0.97,0.985		NA
83	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73214674	73214796	73164418	73164497	73219189	73220331	83	190,156	121,85			198	198	NA	NA	0.611,0.647		NA
84	"ENSG00000225470.8_6"	"JPX"	chrX	+	73166833	73167209	73218602	73218679	73164418	73164497	73219189	73220331	84	190,156	5,20			198	176	NA	NA	0.971,0.874		NA
85	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182565	73182636	73204278	73204376	73164418	73164497	73214674	73214796	85	25,25	5,7			170	197	NA	NA	0.853,0.805		NA
86	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182565	73182636	73204278	73204376	73164418	73164497	73218602	73218679	86	8,11	4,6			170	197	NA	NA	0.699,0.68		NA
87	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182565	73182636	73214674	73214796	73164418	73164497	73218602	73218679	87	8,11	158,122			170	198	NA	NA	0.056,0.095		NA
88	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182565	73182636	73214698	73214796	73164418	73164497	73218602	73218679	88	8,11	37,38			170	197	NA	NA	0.2,0.251		NA
89	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182565	73182636	73214674	73214796	73166833	73167209	73218602	73218679	89	1,2	41,41			170	198	NA	NA	0.028,0.054		NA
90	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73204278	73204376	73164418	73164497	73214674	73214796	90	21,16	5,7			166	197	NA	NA	0.833,0.731		NA
91	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73204278	73204376	73164418	73164497	73218602	73218679	91	6,2	4,6			166	197	NA	NA	0.64,0.283		NA
92	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73214674	73214796	73164418	73164497	73218602	73218679	92	6,2	158,122			166	198	NA	NA	0.043,0.019		NA
93	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73214698	73214796	73164418	73164497	73218602	73218679	93	6,2	37,38			166	197	NA	NA	0.161,0.059		NA
94	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73214674	73214796	73164418	73164497	73219189	73220331	94	5,2	121,85			166	198	NA	NA	0.047,0.027		NA
95	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73218602	73218679	73164418	73164497	73219189	73220331	95	5,2	5,20			166	176	NA	NA	0.515,0.096		NA
96	"ENSG00000225470.8_6"	"JPX"	chrX	+	73182569	73182636	73214674	73214796	73166833	73167209	73218602	73218679	96	0,0	41,41			166	198	NA	NA	0.0,0.0		NA
97	"ENSG00000225470.8_6"	"JPX"	chrX	+	73204278	73204376	73214674	73214796	73164418	73164497	73218602	73218679	97	4,6	158,122			197	198	NA	NA	0.025,0.047		NA
98	"ENSG00000225470.8_6"	"JPX"	chrX	+	73204278	73204376	73214698	73214796	73164418	73164497	73218602	73218679	98	4,6	37,38			197	197	NA	NA	0.098,0.136		NA
99	"ENSG00000225470.8_6"	"JPX"	chrX	+	73214674	73214796	73218602	73218679	73164418	73164497	73218788	73220331	99	121,85	36,41			198	176	NA	NA	0.749,0.648		NA
100	"ENSG00000225470.8_6"	"JPX"	chrX	+	73214674	73214796	73218602	73218679	73164418	73164497	73219189	73220331	100	121,85	5,20			198	176	NA	NA	0.956,0.791		NA
101	"ENSG00000229807.12_7"	"XIST"	chrX	-	73050900	73051041	73053072	73053209	73048902	73049066	73057274	73057338	101	576,314	709,470			198	198	NA	NA	0.448,0.401		NA
102	"ENSG00000229807.12_7"	"XIST"	chrX	-	73050900	73051041	73061216	73061308	73048902	73049066	73070336	73071702	102	3,0	708,468			191	198	NA	NA	0.004,0.0		NA
103	"ENSG00000229807.12_7"	"XIST"	chrX	-	73050900	73051109	73053072	73053209	73048902	73049066	73057274	73057338	103	576,314	790,520			198	198	NA	NA	0.422,0.376		NA
104	"ENSG00000229807.12_7"	"XIST"	chrX	-	73050900	73051109	73057274	73057338	73048902	73049066	73061216	73061308	104	333,222	711,469			163	198	NA	NA	0.363,0.365		NA
105	"ENSG00000147162.14_4"	"OGT"	chrX	+	70764416	70767873	70774362	70774442	70757678	70757922	70775803	70775944	105	382,253	244,165			198	179	NA	NA	0.586,0.581		NA
106	"ENSG00000147162.14_4"	"OGT"	chrX	+	70779437	70779527	70781624	70781750	70779116	70779275	70782696	70782867	106	719,637	286,232			189	198	NA	NA	0.725,0.742		NA
107	"ENSG00000147140.16_8"	"NONO"	chrX	+	70514076	70514198	70516414	70516510	70511628	70511822	70516700	70516897	107	1845,1467	3823,2463			198	195	NA	NA	0.322,0.37		NA
108	"ENSG00000079482.13_6"	"OPHN1"	chrX	-	67273486	67273652	67283695	67284019	67272381	67272432	67292993	67293141	108	11,9	8,3			198	198	NA	NA	0.579,0.75		NA
109	"ENSG00000131089.17_9"	"ARHGEF9"	chrX	-	62935867	62935999	62942641	62942777	62926137	62926329	62944411	62944591	109	0,0	0,0			198	198	NA	NA	NA,NA		NA
110	"ENSG00000131089.17_9"	"ARHGEF9"	chrX	-	62944675	62944726	62951885	62952190	62944411	62944591	62974194	62974556	110	0,0	0,0			198	150	NA	NA	NA,NA		NA
111	"ENSG00000235437.8_8"	"LINC01278"	chrX	-	62534875	62534986	62563084	62563168	62479544	62479694	62619660	62619783	111	0,0	0,0			183	198	NA	NA	NA,NA		NA
112	"ENSG00000235437.8_8"	"LINC01278"	chrX	-	62652243	62652371	62729823	62729959	62619660	62619783	62736789	62736962	112	6,2	19,10			198	198	NA	NA	0.24,0.167		NA
113	"ENSG00000235437.8_8"	"LINC01278"	chrX	-	62729823	62729959	62736789	62736962	62652243	62652371	62780711	62780951	113	28,21	9,6			198	198	NA	NA	0.757,0.778		NA
114	"ENSG00000067445.21_9"	"TRO"	chrX	+	54949010	54950201	54950262	54950379	54948650	54948724	54950883	54950988	114	7,4	0,0			198	198	NA	NA	1.0,1.0		NA
115	"ENSG00000086758.16_8"	"HUWE1"	chrX	-	53570846	53570929	53571520	53571723	53569403	53569500	53571989	53572122	115	148,107	91,58			198	182	NA	NA	0.599,0.629		NA
116	"ENSG00000072501.18_4"	"SMC1A"	chrX	-	53441706	53441819	53448844	53448990	53440181	53440385	53449440	53449677	116	16,8	508,366			198	198	NA	NA	0.031,0.021		NA
117	"ENSG00000068394.11_5"	"GPKOW"	chrX	-	48976057	48976167	48978747	48978872	48973950	48974164	48978971	48979126	117	104,100	88,106			198	198	NA	NA	0.542,0.485		NA
118	"ENSG00000102103.16_8"	"PQBP1"	chrX	+	48755774	48755859	48758466	48758578	48755222	48755297	48759206	48759319	118	499,382	1941,1431			184	198	NA	NA	0.217,0.223		NA
119	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48676626	48676819	48678512	48678662	48676447	48676516	48681029	48681204	119	64,91	228,167			198	198	NA	NA	0.219,0.353		NA
120	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48678512	48678662	48681029	48681204	48676626	48676819	48681321	48681998	120	96,87	276,190			198	198	NA	NA	0.258,0.314		NA
121	"ENSG00000102312.22_6"	"PORCN"	chrX	+	48371222	48371240	48372514	48372529	48370976	48371107	48372627	48372753	121	4,0	0,0			117	114	NA	NA	1.0,NA		NA
122	"ENSG00000068438.15_5"	"FTSJ1"	chrX	+	48339538	48339591	48339676	48339730	48337425	48337504	48339813	48339916	122	172,164	204,221			152	153	NA	NA	0.459,0.428		NA
123	"ENSG00000147050.15_4"	"KDM6A"	chrX	+	44919266	44919401	44919853	44920009	44918491	44918711	44920568	44920664	123	87,72	113,122			198	198	NA	NA	0.435,0.371		NA
124	"ENSG00000147044.21_9"	"CASK"	chrX	-	41414852	41414888	41416284	41416353	41412971	41413168	41419031	41419100	124	9,11	15,4			168	135	NA	NA	0.325,0.688		NA
125	"ENSG00000156298.12_4"	"TSPAN7"	chrX	+	38482155	38482286	38505514	38505565	38420796	38420880	38525374	38525563	125	0,0	0,0			198	150	NA	NA	NA,NA		NA
126	"ENSG00000156298.12_4"	"TSPAN7"	chrX	+	38482155	38482286	38515248	38515408	38420796	38420880	38525374	38525563	126	0,0	0,0			198	198	NA	NA	NA,NA		NA
127	"ENSG00000156298.12_4"	"TSPAN7"	chrX	+	38505514	38505565	38515248	38515408	38420796	38420880	38525374	38525563	127	0,0	0,0			150	198	NA	NA	NA,NA		NA
128	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38146346	38146498	38147113	38147294	38135839	38136025	38150211	38150277	128	20,19	22,19			198	198	NA	NA	0.476,0.5		NA
129	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38146346	38146498	38147117	38147294	38135839	38136025	38150211	38150277	129	21,19	22,19			198	198	NA	NA	0.488,0.5		NA
130	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38180279	38180342	38182105	38182198	38178081	38178240	38182651	38182777	130	17,17	11,11			192	162	NA	NA	0.566,0.566		NA
131	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38182105	38182198	38182651	38182777	38180279	38180342	38186592	38186768	131	10,8	22,17			198	192	NA	NA	0.306,0.313		NA
132	"ENSG00000189023.10_4"	"MAGEB16"	chrX	+	35818633	35818685	35819437	35819491	35816458	35816535	35820247	35821852	132	0,0	0,0			151	153	NA	NA	NA,NA		NA
133	"ENSG00000130741.11_4"	"EIF2S3"	chrX	+	24086080	24086225	24089674	24089844	24084114	24084209	24091207	24091380	133	1752,898	1697,1065			198	198	NA	NA	0.508,0.457		NA
134	"ENSG00000130741.11_4"	"EIF2S3"	chrX	+	24089674	24089844	24091207	24091380	24086080	24086225	24094838	24096927	134	2386,1369	2041,1500			198	198	NA	NA	0.539,0.477		NA
135	"ENSG00000177189.14_8"	"RPS6KA3"	chrX	-	20204413	20204484	20205945	20206088	20195113	20195202	20206614	20206652	135	212,147	255,186			198	170	NA	NA	0.417,0.404		NA
136	"ENSG00000177189.14_8"	"RPS6KA3"	chrX	-	20213182	20213263	20222139	20222221	20212306	20212386	20227405	20227522	136	219,130	264,179			181	180	NA	NA	0.452,0.419		NA
137	"ENSG00000177189.14_8"	"RPS6KA3"	chrX	-	20222139	20222221	20227405	20227522	20213182	20213263	20252875	20252932	137	266,227	277,186			198	181	NA	NA	0.467,0.527		NA
138	"ENSG00000173698.18_6"	"ADGRG2"	chrX	-	19055584	19055608	19055706	19055754	19054059	19054095	19058306	19058342	138	0,0	0,0			147	123	NA	NA	NA,NA		NA
139	"ENSG00000182287.15_8"	"AP1S2"	chrX	-	15849574	15849691	15858619	15858714	15846314	15846323	15863501	15863639	139	1,0	24,7			194	198	NA	NA	0.041,0.0		NA
140	"ENSG00000087842.11_5"	"PIR"	chrX	-	15425627	15425672	15444028	15444113	15415570	15415653	15473970	15474177	140	117,64	32,23			184	144	NA	NA	0.741,0.685		NA
141	"ENSG00000181544.15_7"	"FANCB"	chrX	-	14862977	14863408	14868626	14868796	14862624	14862862	14871160	14871289	141	31,13	87,37			198	198	NA	NA	0.263,0.26		NA
142	"ENSG00000101958.14_5"	"GLRA2"	chrX	+	14592454	14592522	14592613	14592681	14550360	14550494	14599304	14599528	142	0,0	0,0			167	167	NA	NA	NA,NA		NA
143	"ENSG00000101958.14_5"	"GLRA2"	chrX	+	14592494	14592522	14592613	14592681	14550360	14550494	14599304	14599528	143	0,0	0,0			127	167	NA	NA	NA,NA		NA
144	"ENSG00000101849.17_8"	"TBL1X"	chrX	+	9608312	9608400	9622254	9622362	9469819	9469889	9652082	9652158	144	85,61	174,150			187	198	NA	NA	0.341,0.301		NA
