ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1096	"ENSG00000163002.13_9"	"NUP35"	chr2	+	184024215	184026408	184025781	184026408	184023010	184023139
1111	"ENSG00000147454.14_4"	"SLC25A37"	chr8	+	23425771	23425891	23425834	23425891	23423620	23424326
1123	"ENSG00000123411.15_5"	"IKZF4"	chr12	+	56411906	56411961	56411909	56411961	56405341	56405521
1155	"ENSG00000100767.17_6"	"PAPLN"	chr14	+	73730918	73731043	73730964	73731043	73730352	73730490
1157	"ENSG00000146918.20_6"	"NCAPG2"	chr7	-	158447809	158448147	158447809	158447950	158448951	158449125
1167	"ENSG00000133624.13_6"	"ZNF767P"	chr7	-	149249891	149250107	149249891	149250104	149317014	149317128
1173	"ENSG00000113460.13_4"	"BRIX1"	chr5	+	34922321	34923339	34923237	34923339	34919944	34919988
1177	"ENSG00000106123.12_6"	"EPHB6"	chr7	+	142563714	142564360	142564235	142564360	142563229	142563385
1191	"ENSG00000072958.8_6"	"AP1M1"	chr19	+	16345223	16346156	16345957	16346156	16344303	16344429
1195	"ENSG00000101224.17_5"	"CDC25B"	chr20	+	3778268	3778396	3778310	3778396	3776385	3776526
1223	"ENSG00000148399.13_6"	"DPH7"	chr9	-	140469203	140469298	140469203	140469295	140470531	140470619
1236	"ENSG00000165916.8_8"	"PSMC3"	chr11	-	47447417	47447501	47447417	47447497	47447683	47447809
1246	"ENSG00000135253.14_6"	"KCP"	chr7	-	128533858	128534108	128533858	128533952	128534252	128534346
1264	"ENSG00000185842.15_6"	"DNAH14"	chr1	+	225273245	225273491	225273378	225273491	225268080	225268450
1278	"ENSG00000244462.8_6"	"RBM12"	chr20	-	34246851	34246936	34246851	34246904	34252723	34252811
1298	"ENSG00000087085.15_9"	"ACHE"	chr7	-	100490785	100491873	100490785	100491525	100493422	100493541
1308	"ENSG00000106290.15_8"	"TAF6"	chr7	-	99710971	99711392	99710971	99711028	99711490	99711577
1309	"ENSG00000106290.15_8"	"TAF6"	chr7	-	99711676	99711891	99711676	99711854	99716140	99716272
1311	"ENSG00000133884.10_5"	"DPF2"	chr11	+	65111215	65111308	65111225	65111308	65108436	65108544
1318	"ENSG00000197343.11_9"	"ZNF655"	chr7	+	99159510	99160117	99159966	99160117	99158155	99158318
1319	"ENSG00000197343.11_9"	"ZNF655"	chr7	+	99159510	99160117	99159990	99160117	99158155	99158318
1320	"ENSG00000197343.11_9"	"ZNF655"	chr7	+	99159966	99160117	99159990	99160117	99158155	99158318
1321	"ENSG00000197343.11_9"	"ZNF655"	chr7	+	99160810	99160889	99160816	99160889	99158155	99158318
1325	"ENSG00000197343.11_9"	"ZNF655"	chr7	+	99160810	99160889	99160816	99160889	99159990	99160117
1334	"ENSG00000001631.15_9"	"KRIT1"	chr7	-	91871347	91871475	91871347	91871451	91874215	91874485
1335	"ENSG00000001631.15_9"	"KRIT1"	chr7	-	91874215	91874485	91874215	91874448	91875103	91875237
1336	"ENSG00000001631.15_9"	"KRIT1"	chr7	-	91874215	91874485	91874215	91874448	91875135	91875226
1348	"ENSG00000125170.11_7"	"DOK4"	chr16	-	57513353	57513600	57513353	57513597	57514206	57514289
1349	"ENSG00000125170.11_7"	"DOK4"	chr16	-	57513353	57513600	57513353	57513597	57514241	57514329
1362	"ENSG00000225278.3"	"RP11-782C8.5"	chr1	-	143226313	143226398	143226313	143226395	143230341	143230411
1366	"ENSG00000205581.11_6"	"HMGN1"	chr21	-	40717071	40720265	40717071	40717200	40720347	40720377
1367	"ENSG00000205581.11_6"	"HMGN1"	chr21	-	40720347	40720503	40720347	40720377	40720828	40720980
1373	"ENSG00000198522.14_6"	"GPN1"	chr2	+	27852725	27852819	27852735	27852819	27851918	27852036
1380	"ENSG00000084453.16_7"	"SLCO1A2"	chr12	-	21487521	21487643	21487521	21487638	21527332	21527459
1381	"ENSG00000131797.12_5"	"CLUHP3"	chr16	+	31715475	31715711	31715540	31715711	31714488	31714684
1382	"ENSG00000203705.11_7"	"TATDN3"	chr1	+	212985568	212985670	212985592	212985670	212977937	212977993
1386	"ENSG00000203705.11_7"	"TATDN3"	chr1	+	212988354	212988939	212988388	212988939	212981077	212981190
1396	"ENSG00000204536.14_7"	"CCHCR1"	chr6	-	31124799	31124932	31124799	31124866	31125134	31125565
1402	"ENSG00000137996.12_3"	"RTCA"	chr1	+	100733629	100733851	100733707	100733851	100733055	100733094
1410	"ENSG00000102125.16_8"	"TAZ"	chrX	+	153647881	153648085	153648043	153648085	153641818	153641904
1428	"ENSG00000122678.17_6"	"POLM"	chr7	-	44113729	44114129	44113729	44113819	44116107	44116228
1432	"ENSG00000189077.11_6"	"TMEM120A"	chr7	-	75617400	75617659	75617400	75617466	75617738	75617834
1441	"ENSG00000122545.20_8"	"SEPTIN7"	chr7	+	35872407	35872510	35872413	35872510	35871101	35871106
1460	"ENSG00000237298.10_8"	"TTN-AS1"	chr2	+	179465202	179465394	179465284	179465394	179462322	179462408
1491	"ENSG00000183742.13_6"	"MACC1"	chr7	-	20210336	20210404	20210336	20210401	20224611	20224701
1492	"ENSG00000183742.13_6"	"MACC1"	chr7	-	20210336	20210404	20210336	20210401	20238147	20238293
1503	"ENSG00000003147.19_8"	"ICA1"	chr7	-	8275539	8275635	8275539	8275570	8301723	8301903
1514	"ENSG00000242802.9_7"	"AP5Z1"	chr7	+	4830303	4830518	4830440	4830518	4829462	4829560
1523	"ENSG00000160200.18_4"	"CBS"	chr21	-	44473300	44474093	44473300	44473757	44476912	44476997
1524	"ENSG00000160200.18_4"	"CBS"	chr21	-	44493375	44493451	44493375	44493413	44496334	44496488
1526	"ENSG00000130023.16_8"	"ERMARD"	chr6	+	170155378	170155518	170155383	170155518	170151720	170151759
1531	"ENSG00000214655.10_7"	"ZSWIM8"	chr10	+	75559768	75559952	75559877	75559952	75559134	75559248
1545	"ENSG00000112096.18_7"	"SOD2"	chr6	-	160100095	160103670	160100095	160100330	160105885	160106065
1553	"ENSG00000115204.15_7"	"MPV17"	chr2	-	27535860	27535976	27535860	27535941	27539025	27539053
1554	"ENSG00000115204.15_7"	"MPV17"	chr2	-	27535860	27535976	27535860	27535941	27539944	27540101
1562	"ENSG00000080189.15_7"	"SLC35C2"	chr20	-	44983711	44983918	44983711	44983817	44985212	44985276
1564	"ENSG00000153885.14_5"	"KCTD15"	chr19	+	34289572	34289671	34289575	34289671	34286837	34287008
1565	"ENSG00000153885.14_5"	"KCTD15"	chr19	+	34289572	34289671	34289575	34289671	34287358	34287430
1567	"ENSG00000153885.14_5"	"KCTD15"	chr19	+	34289572	34289671	34289575	34289671	34289241	34289295
1573	"ENSG00000081721.12_4"	"DUSP12"	chr1	+	161721444	161721571	161721457	161721571	161719594	161719878
1574	"ENSG00000081721.12_4"	"DUSP12"	chr1	+	161721444	161721571	161721457	161721571	161720921	161721167
1575	"ENSG00000196704.12_7"	"AMZ2"	chr17	+	66244780	66244846	66244784	66244846	66244175	66244199
1576	"ENSG00000196704.12_7"	"AMZ2"	chr17	+	66244780	66244846	66244784	66244846	66244198	66244227
1577	"ENSG00000196704.12_7"	"AMZ2"	chr17	+	66244780	66244846	66244784	66244846	66244215	66244251
1578	"ENSG00000196704.12_7"	"AMZ2"	chr17	+	66244780	66244846	66244784	66244846	66244217	66244303
1583	"ENSG00000198818.10_5"	"SFT2D1"	chr6	-	166736344	166738083	166736344	166736374	166739619	166739655
1609	"ENSG00000066651.20_9"	"TRMT11"	chr6	+	126332070	126332563	126332398	126332563	126329537	126329618
1610	"ENSG00000066651.20_9"	"TRMT11"	chr6	+	126332070	126332563	126332398	126332563	126330480	126330580
1611	"ENSG00000066651.20_9"	"TRMT11"	chr6	+	126334115	126334247	126334120	126334247	126333916	126333998
1626	"ENSG00000227372.12_8"	"TP73-AS1"	chr1	-	3662170	3662750	3662170	3662745	3662850	3663335
1627	"ENSG00000227372.12_8"	"TP73-AS1"	chr1	-	3662170	3662750	3662170	3662745	3663000	3663587
1628	"ENSG00000227372.12_8"	"TP73-AS1"	chr1	-	3662170	3662750	3662170	3662745	3663091	3663306
1630	"ENSG00000107897.19_6"	"ACBD5"	chr10	-	27529247	27529413	27529247	27529403	27530987	27531059
1650	"ENSG00000167522.16_9"	"ANKRD11"	chr16	-	89383340	89383486	89383340	89383483	89427902	89428085
1651	"ENSG00000167522.16_9"	"ANKRD11"	chr16	-	89383340	89383486	89383340	89383483	89439379	89439542
1659	"ENSG00000146263.11_5"	"MMS22L"	chr6	-	97717777	97720757	97717777	97717868	97720850	97720938
1669	"ENSG00000266967.7_6"	"AARSD1"	chr17	-	41108420	41108577	41108420	41108521	41109154	41109212
1673	"ENSG00000103510.20_7"	"KAT8"	chr16	+	31142066	31142680	31142515	31142680	31141776	31141927
1678	"ENSG00000126247.11_9"	"CAPNS1"	chr19	+	36631898	36632122	36631901	36632122	36631509	36631815
1684	"ENSG00000135297.16_4"	"MTO1"	chr6	+	74191751	74191967	74191762	74191967	74190723	74190839
1685	"ENSG00000082269.16_5"	"FAM135A"	chr6	+	71185112	71185252	71185161	71185252	71162194	71162274
1687	"ENSG00000082269.16_5"	"FAM135A"	chr6	+	71234045	71236401	71234633	71236401	71232215	71232289
1694	"ENSG00000115464.15_6"	"USP34"	chr2	-	61441194	61441413	61441194	61441353	61447444	61447592
1695	"ENSG00000115464.15_6"	"USP34"	chr2	-	61441194	61441829	61441194	61441353	61447444	61447592
1718	"ENSG00000171453.20_6"	"POLR1C"	chr6	+	43487443	43487923	43487803	43487923	43487070	43487178
1721	"ENSG00000124574.15_6"	"ABCC10"	chr6	+	43399879	43401098	43400972	43401098	43395593	43395705
1723	"ENSG00000124574.15_6"	"ABCC10"	chr6	+	43410707	43411748	43411670	43411748	43409599	43409698
1724	"ENSG00000112655.16_8"	"PTK7"	chr6	+	43109909	43111358	43111154	43111358	43109668	43109819
1747	"ENSG00000112511.17_3"	"PHF1"	chr6	+	33383011	33383106	33383037	33383106	33382501	33382606
1748	"ENSG00000112511.17_3"	"PHF1"	chr6	+	33383366	33383447	33383369	33383447	33383037	33383106
1753	"ENSG00000140521.15_9"	"POLG"	chr15	-	89862458	89862581	89862458	89862493	89863996	89864491
1754	"ENSG00000140521.15_9"	"POLG"	chr15	-	89863996	89864491	89863996	89864243	89864966	89865084
1756	"ENSG00000140521.15_9"	"POLG"	chr15	-	89867337	89867458	89867337	89867418	89868720	89868917
1762	"ENSG00000204305.14_6"	"AGER"	chr6	-	32151100	32151217	32151100	32151165	32151344	32151527
1770	"ENSG00000204392.11_5"	"LSM2"	chr6	-	31773851	31773919	31773851	31773898	31774531	31774743
1811	"ENSG00000198563.14_9"	"DDX39B"	chr6	-	31508098	31508441	31508098	31508311	31509410	31509506
1813	"ENSG00000116560.11_5"	"SFPQ"	chr1	-	35641978	35642075	35641978	35642072	35643589	35643637
1820	"ENSG00000177054.14_4"	"ZDHHC13"	chr11	+	19187848	19192115	19191957	19192115	19186598	19186692
1833	"ENSG00000076242.16_6"	"MLH1"	chr3	+	37038109	37038200	37038114	37038200	37035717	37035837
1834	"ENSG00000076242.16_6"	"MLH1"	chr3	+	37038109	37038200	37038114	37038200	37036320	37036394
1835	"ENSG00000076242.16_6"	"MLH1"	chr3	+	37038109	37038200	37038114	37038200	37036879	37037136
1837	"ENSG00000204681.11_6"	"GABBR1"	chr6	-	29596863	29597024	29596863	29596884	29598298	29598420
1866	"ENSG00000124508.17_8"	"BTN2A2"	chr6	+	26383880	26384143	26384019	26384143	26383370	26383409
1870	"ENSG00000183010.17_8"	"PYCR1"	chr17	-	79892801	79893023	79892801	79893020	79893212	79893392
1871	"ENSG00000183010.17_8"	"PYCR1"	chr17	-	79892801	79893023	79892801	79893020	79893998	79894069
1934	"ENSG00000170260.9_5"	"ZNF212"	chr7	+	148947249	148947639	148947254	148947639	148936741	148936893
1946	"ENSG00000172375.13_4"	"C2CD2L"	chr11	+	118984320	118984422	118984346	118984422	118983409	118983584
1958	"ENSG00000169045.17_8"	"HNRNPH1"	chr5	-	179050037	179050188	179050037	179050165	179050595	179050711
1960	"ENSG00000160201.11_5"	"U2AF1"	chr21	-	44520562	44524512	44520562	44520629	44527560	44527634
1974	"ENSG00000106263.18_4"	"EIF3B"	chr7	+	2418323	2418877	2418768	2418877	2416584	2416710
1979	"ENSG00000108443.14_5"	"RPS6KB1"	chr17	+	58013575	58013902	58013824	58013902	58012553	58012661
1983	"ENSG00000136699.19_7"	"SMPD4"	chr2	-	130914157	130914386	130914157	130914248	130921946	130922018
1994	"ENSG00000121716.20_7"	"PILRB"	chr7	+	99955842	99955989	99955886	99955989	99954372	99954561
2013	"ENSG00000164611.13_5"	"PTTG1"	chr5	+	159849308	159849900	159849715	159849900	159849213	159849243
2014	"ENSG00000166501.14_6"	"PRKCB"	chr16	+	24225978	24231932	24231281	24231932	24196780	24196888
2018	"ENSG00000136521.13_9"	"NDUFB5"	chr3	+	179333770	179333837	179333772	179333837	179325545	179325600
2019	"ENSG00000136521.13_9"	"NDUFB5"	chr3	+	179333770	179333837	179333772	179333837	179332758	179332847
2022	"ENSG00000175455.15_8"	"CCDC14"	chr3	-	123674689	123674962	123674689	123674812	123675201	123675274
2027	"ENSG00000165280.16_7"	"VCP"	chr9	-	35060309	35060920	35060309	35060522	35061011	35061176
2035	"ENSG00000113716.13_5"	"HMGXB3"	chr5	+	149403824	149404243	149404067	149404243	149398128	149398260
2054	"ENSG00000133706.19_5"	"LARS1"	chr5	-	145519766	145522647	145519766	145519824	145522974	145523113
2057	"ENSG00000100124.15_6"	"ANKRD54"	chr22	-	38229690	38229762	38229690	38229757	38229923	38230735
2065	"ENSG00000171720.10_5"	"HDAC3"	chr5	-	141009426	141009692	141009426	141009483	141014377	141014520
2067	"ENSG00000167377.18_9"	"ZNF23"	chr16	-	71487944	71488121	71487944	71488071	71489974	71490024
2068	"ENSG00000167377.18_9"	"ZNF23"	chr16	-	71487944	71488121	71487944	71488071	71490666	71490731
2070	"ENSG00000139974.15_4"	"SLC38A6"	chr14	+	61545527	61545645	61545547	61545645	61512784	61512885
2075	"ENSG00000063241.8_8"	"ISOC2"	chr19	-	55966626	55966745	55966626	55966697	55967715	55967856
