ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
235	"ENSG00000160310.18_4"	"PRMT2"	chr21	+	48080744	48081848	48080744	48080874	48083294	48083466
244	"ENSG00000186866.16_4"	"POFUT2"	chr21	-	46703266	46703442	46703297	46703442	46702283	46702313
252	"ENSG00000275895.7_7"	"U2AF1L5"	chr21	-	44520562	44524512	44524424	44524512	44515803	44515853
253	"ENSG00000160193.12_5"	"WDR4"	chr21	-	44293660	44293801	44293712	44293801	44279771	44279832
269	"ENSG00000156256.15_6"	"USP16"	chr21	+	30414792	30415920	30414792	30414849	30418987	30419642
285	"ENSG00000101181.17_4"	"MTG2"	chr20	+	60774174	60774339	60774174	60774313	60775738	60777823
286	"ENSG00000101181.17_4"	"MTG2"	chr20	+	60774174	60774339	60774174	60774313	60778139	60778624
303	"ENSG00000124222.22_6"	"STX16"	chr20	+	57227128	57227194	57227128	57227143	57245567	57245659
310	"ENSG00000244687.12_5"	"UBE2V1"	chr20	-	48732021	48732491	48732235	48732491	48700665	48700791
311	"ENSG00000244687.12_5"	"UBE2V1"	chr20	-	48713019	48713357	48713208	48713357	48712595	48712807
312	"ENSG00000244687.12_5"	"UBE2V1"	chr20	-	48732021	48732491	48732235	48732491	48713208	48713357
317	"ENSG00000101457.13_5"	"DNTTIP1"	chr20	+	44430637	44430696	44430637	44430694	44431971	44432017
335	"ENSG00000101052.13_4"	"IFT52"	chr20	+	42233641	42233856	42233641	42233713	42242489	42242616
354	"ENSG00000242372.8_7"	"EIF6"	chr20	-	33871978	33872295	33872183	33872295	33868456	33868632
357	"ENSG00000101464.10_6"	"PIGU"	chr20	-	33176256	33176411	33176343	33176411	33173240	33173384
369	"ENSG00000101310.17_9"	"SEC23B"	chr20	+	18488583	18488634	18488583	18488616	18490259	18490587
398	"ENSG00000234684.7_8"	"SDCBP2-AS1"	chr20	+	1306064	1306426	1306064	1306173	1330982	1331125
403	"ENSG00000099326.9_7"	"MZF1"	chr19	-	59081710	59082796	59082360	59082796	59080882	59080953
405	"ENSG00000283515.1_8"	"AC020915.5"	chr19	+	58757666	58757793	58757666	58757756	58758076	58758160
406	"ENSG00000198131.14_6"	"ZNF544"	chr19	+	58741759	58741863	58741759	58741828	58748614	58748700
423	"ENSG00000022556.16_8"	"NLRP2"	chr19	+	55481366	55481663	55481366	55481521	55485867	55485912
424	"ENSG00000022556.16_8"	"NLRP2"	chr19	+	55501389	55501560	55501389	55501464	55501869	55502040
425	"ENSG00000022556.16_8"	"NLRP2"	chr19	+	55501389	55501761	55501389	55501464	55501869	55502040
431	"ENSG00000105618.14_5"	"PRPF31"	chr19	+	54631447	54631752	54631447	54631575	54632431	54632745
458	"ENSG00000213024.12_7"	"NUP62"	chr19	-	50432582	50432761	50432673	50432761	50430950	50431072
459	"ENSG00000213024.12_7"	"NUP62"	chr19	-	50432582	50432761	50432673	50432761	50430950	50431105
472	"ENSG00000142534.7_5"	"RPS11"	chr19	+	50000450	50000582	50000450	50000539	50000776	50001303
476	"ENSG00000142541.17_5"	"RPL13A"	chr19	+	49993106	49993179	49993106	49993169	49993731	49993833
478	"ENSG00000142541.17_5"	"RPL13A"	chr19	+	49993106	49993554	49993106	49993179	49993731	49993833
480	"ENSG00000142541.17_5"	"RPL13A"	chr19	+	49993488	49993833	49993488	49993554	49994296	49994356
493	"ENSG00000104805.16_8"	"NUCB1"	chr19	+	49416730	49416821	49416730	49416789	49421923	49422001
509	"ENSG00000090372.15_7"	"STRN4"	chr19	-	47225242	47225597	47225498	47225597	47223792	47224028
510	"ENSG00000160014.17_6"	"CALM3"	chr19	+	47111453	47111597	47111453	47111584	47111738	47112238
528	"ENSG00000159917.17_7"	"ZNF235"	chr19	-	44802960	44803056	44802972	44803056	44738907	44739022
529	"ENSG00000159917.17_7"	"ZNF235"	chr19	-	44802960	44803056	44802972	44803056	44778904	44779074
531	"ENSG00000167637.18_5"	"ZNF283"	chr19	+	44341204	44341331	44341204	44341284	44351090	44356169
544	"ENSG00000188493.15_9"	"C19orf54"	chr19	-	41248303	41248675	41248481	41248675	41246760	41247344
545	"ENSG00000188493.15_9"	"C19orf54"	chr19	-	41248419	41248675	41248481	41248675	41247977	41248094
551	"ENSG00000105193.9_5"	"RPS16"	chr19	-	39924161	39924401	39924304	39924401	39923846	39924058
552	"ENSG00000105193.9_5"	"RPS16"	chr19	-	39924304	39926348	39926246	39926348	39924161	39924209
555	"ENSG00000161243.9_10"	"FBXO27"	chr19	-	39521668	39521960	39521848	39521960	39517509	39517645
566	"ENSG00000239382.10_8"	"ALKBH6"	chr19	-	36503902	36503991	36503922	36503991	36501795	36501947
567	"ENSG00000239382.10_8"	"ALKBH6"	chr19	-	36503902	36503991	36503922	36503991	36502305	36502366
576	"ENSG00000105677.12_4"	"TMEM147"	chr19	+	36037573	36037931	36037573	36037710	36038020	36038142
584	"ENSG00000126249.8_6"	"PDCD2L"	chr19	+	34895553	34895895	34895553	34895720	34900065	34900415
585	"ENSG00000178904.19_5"	"DPY19L3"	chr19	+	32958379	32959719	32958379	32958532	32968427	32968560
616	"ENSG00000105640.13_4"	"RPL18A"	chr19	+	17972101	17972281	17972101	17972116	17972902	17973032
617	"ENSG00000105640.13_4"	"RPL18A"	chr19	+	17972101	17972281	17972101	17972116	17973726	17973836
620	"ENSG00000130475.14_5"	"FCHO1"	chr19	+	17865400	17865567	17865400	17865494	17865930	17866431
625	"ENSG00000053501.13_5"	"USE1"	chr19	+	17326977	17327131	17326977	17327130	17329172	17329200
629	"ENSG00000214046.8_5"	"SMIM7"	chr19	-	16757906	16758072	16757930	16758072	16742187	16742475
638	"ENSG00000105135.16_5"	"ILVBL"	chr19	-	15226811	15227132	15226962	15227132	15226660	15226732
640	"ENSG00000099797.15_6"	"TECR"	chr19	+	14675597	14675804	14675597	14675670	14676013	14676102
641	"ENSG00000099797.15_6"	"TECR"	chr19	+	14675597	14675935	14675597	14675670	14676013	14676102
642	"ENSG00000099797.15_6"	"TECR"	chr19	+	14675597	14675935	14675597	14675804	14676013	14676102
643	"ENSG00000099797.15_6"	"TECR"	chr19	+	14675877	14676102	14675877	14675935	14676429	14676475
647	"ENSG00000104907.12_6"	"TRMT1"	chr19	-	13223709	13223825	13223722	13223825	13220971	13221120
670	"ENSG00000163002.13_9"	"NUP35"	chr2	+	183995722	183996080	183995722	183995845	183998293	183998351
682	"ENSG00000147454.14_4"	"SLC25A37"	chr8	+	23423620	23424326	23423620	23423849	23425771	23425891
686	"ENSG00000080166.16_8"	"DCT"	chr13	-	95097942	95098015	95097972	95098015	95095689	95095891
741	"ENSG00000148399.13_6"	"DPH7"	chr9	-	140470160	140470619	140470531	140470619	140469203	140469298
775	"ENSG00000153113.23_8"	"CAST"	chr5	+	96058342	96058422	96058342	96058402	96063192	96063234
776	"ENSG00000153113.23_8"	"CAST"	chr5	+	96058342	96058422	96058342	96058402	96064856	96064913
797	"ENSG00000197343.11_9"	"ZNF655"	chr7	+	99159510	99160117	99159510	99159596	99161485	99162328
804	"ENSG00000001631.15_9"	"KRIT1"	chr7	-	91864716	91865856	91865726	91865856	91863762	91863906
805	"ENSG00000001631.15_9"	"KRIT1"	chr7	-	91874778	91875414	91875219	91875414	91873315	91873463
835	"ENSG00000131797.12_5"	"CLUHP3"	chr16	+	31717210	31717355	31717210	31717315	31717741	31717775
841	"ENSG00000129103.18_5"	"SUMF2"	chr7	+	56136174	56136340	56136174	56136331	56144526	56144582
847	"ENSG00000205628.4_8"	"LINC01446"	chr7	-	53879200	53879635	53879352	53879635	53847849	53847923
856	"ENSG00000102125.16_8"	"TAZ"	chrX	+	153648370	153648603	153648370	153648433	153648996	153649074
862	"ENSG00000071082.11_5"	"RPL31"	chr2	+	101618754	101619270	101618754	101618777	101620619	101620745
872	"ENSG00000122678.17_6"	"POLM"	chr7	-	44118152	44118410	44118338	44118410	44117920	44118037
901	"ENSG00000177830.18_8"	"CHID1"	chr11	-	883147	883303	883199	883303	882327	882515
914	"ENSG00000242802.9_7"	"AP5Z1"	chr7	+	4829462	4830222	4829462	4829560	4830303	4830518
933	"ENSG00000115204.15_7"	"MPV17"	chr2	-	27535081	27535456	27535360	27535456	27534766	27534819
946	"ENSG00000051620.11_6"	"HEBP2"	chr6	+	138727107	138727288	138727107	138727170	138733219	138733393
962	"ENSG00000112282.18_6"	"MED23"	chr6	-	131913527	131914311	131914145	131914311	131912452	131912667
969	"ENSG00000066651.20_9"	"TRMT11"	chr6	+	126333916	126333998	126333916	126333989	126334120	126334247
979	"ENSG00000118961.15_6"	"LDAH"	chr2	-	20901329	20901412	20901334	20901412	20886666	20886854
984	"ENSG00000227372.12_8"	"TP73-AS1"	chr1	-	3656259	3656951	3656399	3656951	3654102	3656115
985	"ENSG00000227372.12_8"	"TP73-AS1"	chr1	-	3656259	3656951	3656687	3656951	3654102	3656115
986	"ENSG00000227372.12_8"	"TP73-AS1"	chr1	-	3656399	3656951	3656687	3656951	3654102	3656115
998	"ENSG00000159023.21_9"	"EPB41"	chr1	+	29395244	29395295	29395244	29395280	29424318	29424447
1006	"ENSG00000186577.14_9"	"SMIM29"	chr6	-	34215457	34215641	34215517	34215641	34214820	34214926
1012	"ENSG00000103510.20_7"	"KAT8"	chr16	+	31141776	31142221	31141776	31141927	31142515	31142680
1021	"ENSG00000227706.4_9"	"AL713998.1"	chr6	-	68593495	68593768	68593597	68593768	68591199	68591472
1022	"ENSG00000115464.15_6"	"USP34"	chr2	-	61433894	61436112	61436033	61436112	61433151	61433259
1027	"ENSG00000136518.17_7"	"ACTL6A"	chr3	+	179292157	179292289	179292157	179292255	179294004	179294099
1028	"ENSG00000013375.16_9"	"PGM3"	chr6	-	83878781	83879042	83878960	83879042	83875848	83876185
1037	"ENSG00000137207.12_8"	"YIPF3"	chr6	-	43480806	43481189	43481096	43481189	43480498	43480612
1041	"ENSG00000112655.16_8"	"PTK7"	chr6	+	43109668	43109819	43109668	43109779	43111154	43111358
1042	"ENSG00000112655.16_8"	"PTK7"	chr6	+	43109909	43111358	43109909	43110037	43112188	43112344
1049	"ENSG00000158850.15_5"	"B4GALT3"	chr1	-	161143394	161143839	161143648	161143839	161142016	161142121
1057	"ENSG00000120925.16_6"	"RNF170"	chr8	-	42742870	42743014	42742991	42743014	42725146	42725255
1067	"ENSG00000112511.17_3"	"PHF1"	chr6	+	33382501	33382921	33382501	33382606	33383011	33383106
1072	"ENSG00000204305.14_6"	"AGER"	chr6	-	32151331	32151527	32151344	32151527	32151100	32151165
1084	"ENSG00000198563.14_9"	"DDX39B"	chr6	-	31500556	31503262	31503143	31503262	31499072	31499182
1086	"ENSG00000006757.12_6"	"PNPLA4"	chrX	-	7895711	7895780	7895726	7895780	7890044	7890139
1094	"ENSG00000137312.15_7"	"FLOT1"	chr6	-	30708966	30709481	30709390	30709481	30708272	30708368
1095	"ENSG00000137312.15_7"	"FLOT1"	chr6	-	30708966	30709481	30709390	30709481	30708455	30708575
1096	"ENSG00000137312.15_7"	"FLOT1"	chr6	-	30708966	30709481	30709438	30709481	30708455	30708575
1097	"ENSG00000137312.15_7"	"FLOT1"	chr6	-	30709390	30709481	30709438	30709481	30708455	30708575
1101	"ENSG00000177054.14_4"	"ZDHHC13"	chr11	+	19187848	19192115	19187848	19187932	19194269	19194367
1110	"ENSG00000204681.11_6"	"GABBR1"	chr6	-	29598234	29598420	29598298	29598420	29596863	29597024
1111	"ENSG00000280670.3_7"	"CCDC163"	chr1	-	45962970	45963055	45962975	45963055	45961089	45961217
1142	"ENSG00000204394.13_7"	"VARS1"	chr6	-	31750306	31750622	31750497	31750622	31749863	31749954
1143	"ENSG00000204394.13_7"	"VARS1"	chr6	-	31750306	31750622	31750497	31750622	31750061	31750220
1162	"ENSG00000218510.8_9"	"LINC00339"	chr1	+	22352003	22352612	22352003	22352132	22356772	22357110
1164	"ENSG00000115159.16_4"	"GPD2"	chr2	+	157435400	157435676	157435400	157435513	157436201	157436300
1182	"ENSG00000048162.21_5"	"NOP16"	chr5	-	175815235	175815599	175815433	175815599	175812221	175812328
1183	"ENSG00000048162.21_5"	"NOP16"	chr5	-	175815235	175815599	175815433	175815599	175813840	175813910
1187	"ENSG00000099246.17_3"	"RAB18"	chr10	+	27798803	27798859	27798803	27798849	27821435	27821508
1194	"ENSG00000121716.20_7"	"PILRB"	chr7	+	99950995	99951635	99950995	99951106	99952765	99952863
1196	"ENSG00000121716.20_7"	"PILRB"	chr7	+	99954372	99954561	99954372	99954506	99955886	99955989
1252	"ENSG00000185189.18_6"	"NRBP2"	chr8	-	144921680	144921997	144921907	144921997	144921485	144921580
1256	"ENSG00000167377.18_9"	"ZNF23"	chr16	-	71487145	71487253	71487205	71487253	71484492	71484618
1271	"ENSG00000120314.18_3"	"WDR55"	chr5	+	140047818	140048087	140047818	140047919	140048196	140048376
1277	"ENSG00000184584.13_8"	"STING1"	chr5	-	138860743	138861289	138861062	138861289	138860374	138860483
1278	"ENSG00000184584.13_8"	"STING1"	chr5	-	138860743	138861887	138861794	138861887	138860374	138860483
1298	"ENSG00000113522.14_9"	"RAD50"	chr5	+	131911468	131911620	131911468	131911555	131923253	131923382
1299	"ENSG00000113522.14_9"	"RAD50"	chr5	+	131915008	131915758	131915008	131915194	131923253	131923382
1304	"ENSG00000254505.11_9"	"CHMP4A"	chr14	-	24680616	24680798	24680620	24680798	24679553	24679689
1309	"ENSG00000170581.14_7"	"STAT2"	chr12	-	56743128	56743293	56743209	56743293	56742312	56742407
1331	"ENSG00000106245.11_4"	"BUD31"	chr7	+	99006591	99006868	99006591	99006627	99008686	99008809
1342	"ENSG00000160469.17_5"	"BRSK1"	chr19	+	55798581	55798671	55798581	55798667	55799359	55799421
1343	"ENSG00000160469.17_5"	"BRSK1"	chr19	+	55798581	55798671	55798581	55798667	55800847	55800988
1351	"ENSG00000143811.19_6"	"PYCR2"	chr1	-	226109557	226111471	226111400	226111471	226108907	226109071
1352	"ENSG00000143811.19_6"	"PYCR2"	chr1	-	226109557	226111471	226111400	226111471	226109251	226109344
1367	"ENSG00000247828.8_8"	"TMEM161B-AS1"	chr5	+	87565284	87577923	87565284	87566402	87578531	87578683
1380	"ENSG00000141002.20_6"	"TCF25"	chr16	+	89970525	89971504	89970525	89970613	89972601	89972692
1385	"ENSG00000164253.14_9"	"WDR41"	chr5	-	76749626	76749753	76749641	76749753	76747148	76747178
1396	"ENSG00000183323.13_7"	"CCDC125"	chr5	-	68616063	68616407	68616291	68616407	68609811	68609870
1402	"ENSG00000153914.16_4"	"SREK1"	chr5	+	65449290	65449424	65449290	65449318	65454636	65454760
1407	"ENSG00000104231.11_8"	"ZFAND1"	chr8	-	82626833	82627130	82627038	82627130	82626185	82626274
1417	"ENSG00000166261.11_6"	"ZNF202"	chr11	-	123611100	123611244	123611124	123611244	123601194	123601693
1418	"ENSG00000166261.11_6"	"ZNF202"	chr11	-	123611100	123611244	123611124	123611244	123610824	123610900
1423	"ENSG00000064687.13_4"	"ABCA7"	chr19	+	1056905	1057428	1056905	1057083	1057913	1058058
1429	"ENSG00000108654.15_7"	"DDX5"	chr17	-	62496666	62498187	62498127	62498187	62495733	62496444
1456	"ENSG00000005700.15_7"	"IBTK"	chr6	-	82900789	82901596	82901503	82901596	82891595	82891745
1468	"ENSG00000180448.10_9"	"ARHGAP45"	chr19	+	1080253	1080546	1080253	1080378	1080680	1080785
1475	"ENSG00000145495.16_6"	"MARCHF6"	chr5	+	10417381	10417522	10417381	10417516	10423846	10423947
1480	"ENSG00000171163.16_6"	"ZNF692"	chr1	-	249150486	249150621	249150571	249150621	249149980	249150142
1483	"ENSG00000173992.9_5"	"CCS"	chr11	+	66366586	66367107	66366586	66366724	66367959	66368020
1493	"ENSG00000111642.16_8"	"CHD4"	chr12	-	6690203	6690339	6690209	6690339	6689747	6689845
1494	"ENSG00000111642.16_8"	"CHD4"	chr12	-	6690203	6690339	6690209	6690339	6689962	6690095
1502	"ENSG00000121644.19_4"	"DESI2"	chr1	+	244816427	244817327	244816427	244816657	244819597	244819823
1551	"ENSG00000185624.15_5"	"P4HB"	chr17	-	79817054	79817263	79817056	79817263	79813417	79813462
1557	"ENSG00000163660.12_4"	"CCNL1"	chr3	-	156869517	156869719	156869705	156869719	156869274	156869380
1565	"ENSG00000135740.17_7"	"SLC9A5"	chr16	+	67289295	67289833	67289295	67289374	67290371	67290592
1569	"ENSG00000106028.11_7"	"SSBP1"	chr7	+	141438157	141438303	141438157	141438210	141441968	141442029
1578	"ENSG00000250501.3_8"	"AC093766.1"	chr4	+	139711543	139711764	139711543	139711616	139722071	139722971
1600	"ENSG00000168393.13_8"	"DTYMK"	chr2	-	242625183	242625292	242625221	242625292	242617866	242618064
1601	"ENSG00000168393.13_8"	"DTYMK"	chr2	-	242625183	242625292	242625221	242625292	242622213	242622330
1617	"ENSG00000177697.19_7"	"CD151"	chr11	+	832951	833026	832951	833022	836062	836153
1636	"ENSG00000168958.20_8"	"MFF"	chr2	+	228193393	228195562	228193393	228193505	228197134	228197304
1637	"ENSG00000131652.14_4"	"THOC6"	chr16	+	3075924	3076167	3075924	3075989	3076251	3076289
1638	"ENSG00000131652.14_4"	"THOC6"	chr16	+	3075924	3076289	3075924	3075989	3076365	3076414
1650	"ENSG00000167272.11_5"	"POP5"	chr12	-	121018798	121019060	121018917	121019060	121017316	121017400
1654	"ENSG00000140400.17_9"	"MAN2C1"	chr15	-	75650802	75651149	75651044	75651149	75650541	75650685
1668	"ENSG00000173715.17_6"	"C11orf80"	chr11	+	66568501	66568632	66568501	66568573	66571468	66571661
1675	"ENSG00000146414.16_7"	"SHPRH"	chr6	-	146275825	146276490	146276322	146276490	146271399	146271618
1700	"ENSG00000276550.4_3"	"HERC2P2"	chr15	-	23311161	23311537	23311306	23311537	23310008	23310147
1701	"ENSG00000276550.4_3"	"HERC2P2"	chr15	-	23311161	23311537	23311306	23311537	23310364	23310453
1716	"ENSG00000121281.13_8"	"ADCY7"	chr16	+	50300461	50300591	50300461	50300498	50326586	50326736
1720	"ENSG00000164362.21_8"	"TERT"	chr5	-	1293078	1294781	1293427	1294781	1286279	1287201
1734	"ENSG00000187514.16_5"	"PTMA"	chr2	+	232576057	232576693	232576057	232576129	232577152	232577226
1737	"ENSG00000185480.11_6"	"PARPBP"	chr12	+	102547646	102547767	102547646	102547754	102548604	102549058
1738	"ENSG00000185480.11_6"	"PARPBP"	chr12	+	102547646	102547767	102547646	102547754	102558215	102558386
1739	"ENSG00000185480.11_6"	"PARPBP"	chr12	+	102547646	102547767	102547646	102547754	102559506	102559661
1743	"ENSG00000163682.16_6"	"RPL9"	chr4	-	39459205	39459301	39459216	39459301	39456483	39456564
1751	"ENSG00000248215.6_8"	"LINC02505"	chr4	-	36617039	36617148	36617075	36617148	36586286	36586418
1758	"ENSG00000179988.14_6"	"PSTK"	chr10	+	124742787	124743030	124742787	124742986	124749689	124749906
1766	"ENSG00000187994.14_8"	"RINL"	chr19	-	39366970	39367421	39367332	39367421	39364525	39364628
1770	"ENSG00000137449.16_4"	"CPEB2"	chr4	+	15008928	15009219	15008928	15009210	15009961	15010051
1779	"ENSG00000281202.2_4"	"LINC01097"	chr4	-	13530545	13530726	13530551	13530726	13529774	13529926
1787	"ENSG00000134748.13_4"	"PRPF38A"	chr1	+	52871351	52871511	52871351	52871385	52878185	52878296
1791	"ENSG00000081760.17_5"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125612706	125612820
1798	"ENSG00000167528.12_5"	"ZNF641"	chr12	-	48740931	48741126	48741034	48741126	48738381	48738495
1799	"ENSG00000167528.12_5"	"ZNF641"	chr12	-	48740931	48741126	48741034	48741126	48739210	48739257
1802	"ENSG00000188002.10_8"	"AC026412.1"	chr5	-	1632758	1633021	1632959	1633021	1626900	1627041
1803	"ENSG00000188002.10_8"	"AC026412.1"	chr5	-	1632758	1633021	1632959	1633021	1630523	1630681
1809	"ENSG00000114503.11_7"	"NCBP2"	chr3	-	196666121	196666303	196666263	196666303	196664380	196664502
1813	"ENSG00000109184.15_6"	"DCUN1D4"	chr4	+	52752733	52753410	52752733	52752804	52765435	52765544
1818	"ENSG00000139546.11_9"	"TARBP2"	chr12	+	53896810	53896996	53896810	53896913	53897242	53897333
1827	"ENSG00000223812.8_9"	"AC073365.1"	chr3	+	191263839	191263904	191263839	191263900	191287388	191287613
1832	"ENSG00000223812.8_9"	"AC073365.1"	chr3	+	191277466	191277543	191277466	191277539	191287429	191287613
1834	"ENSG00000178971.16_8"	"CTC1"	chr17	-	8139375	8139660	8139400	8139660	8138370	8138603
1836	"ENSG00000100949.14_4"	"RABGGTA"	chr14	-	24737719	24738032	24737930	24738032	24737574	24737626
1843	"ENSG00000161960.15_5"	"EIF4A1"	chr17	+	7479841	7480010	7479841	7480008	7480373	7480483
1849	"ENSG00000130177.16_5"	"CDC16"	chr13	+	115037658	115037960	115037658	115037956	115038038	115038150
1862	"ENSG00000145191.15_8"	"EIF2B5"	chr3	+	183860839	183861353	183860839	183860930	183861886	183862012
1879	"ENSG00000143889.16_9"	"HNRNPLL"	chr2	-	38829579	38830178	38829998	38830178	38812785	38813023
1882	"ENSG00000234593.3_8"	"KAZN-AS1"	chr1	-	14717940	14718074	14717954	14718074	14677363	14677520
1883	"ENSG00000234593.3_8"	"KAZN-AS1"	chr1	-	14717940	14718074	14717954	14718074	14717181	14717240
1884	"ENSG00000234593.3_8"	"KAZN-AS1"	chr1	-	14717940	14718074	14717954	14718074	14717181	14717247
1886	"ENSG00000066294.15_4"	"CD84"	chr1	-	160523149	160523287	160523167	160523287	160520727	160520825
1901	"ENSG00000164403.14_5"	"SHROOM1"	chr5	-	132159541	132160111	132159972	132160111	132159314	132159456
1906	"ENSG00000105866.15_6"	"SP4"	chr7	+	21516696	21516925	21516696	21516857	21521541	21521741
1924	"ENSG00000183763.9_5"	"TRAIP"	chr3	-	49877153	49877293	49877204	49877293	49867452	49867501
1929	"ENSG00000092094.11_6"	"OSGEP"	chr14	-	20920132	20920308	20920153	20920308	20919415	20919611
1936	"ENSG00000130669.17_5"	"PAK4"	chr19	+	39658869	39658952	39658869	39658942	39659264	39659480
1952	"ENSG00000226985.7_6"	"LINC01203"	chrX	+	13353148	13353664	13353148	13353207	13354497	13354579
1977	"ENSG00000124333.16_4"	"VAMP7"	chrX	+	155119120	155119271	155119120	155119210	155125285	155125343
1978	"ENSG00000124333.16_4"	"VAMP7"	chrX	+	155119120	155119275	155119120	155119210	155125285	155125343
1979	"ENSG00000124333.16_4"	"VAMP7"	chrX	+	155119120	155119296	155119120	155119210	155125285	155125343
1984	"ENSG00000124333.16_4"	"VAMP7"	chrX	+	155119120	155119296	155119120	155119210	155127775	155127913
1985	"ENSG00000124333.16_4"	"VAMP7"	chrX	+	155119120	155119296	155119120	155119275	155127775	155127913
1987	"ENSG00000185324.22_6"	"CDK10"	chr16	+	89759681	89759875	89759681	89759734	89760580	89760640
1993	"ENSG00000144847.13_8"	"IGSF11"	chr3	-	118624442	118624565	118624514	118624565	118623494	118623561
2000	"ENSG00000102038.15_6"	"SMARCA1"	chrX	-	128582278	128582420	128582309	128582420	128580481	128581278
2001	"ENSG00000102038.15_6"	"SMARCA1"	chrX	-	128582278	128582420	128582309	128582420	128580822	128581210
2013	"ENSG00000159069.14_7"	"FBXW5"	chr9	-	139836497	139837147	139836998	139837147	139835988	139836136
2014	"ENSG00000159069.14_7"	"FBXW5"	chr9	-	139836998	139837395	139837220	139837395	139835988	139836136
2048	"ENSG00000162923.16_8"	"WDR26"	chr1	-	224619178	224619283	224619226	224619283	224607219	224607317
2051	"ENSG00000138074.15_10"	"SLC5A6"	chr2	-	27425680	27426213	27426100	27426213	27424533	27424715
2056	"ENSG00000161202.20_6"	"DVL3"	chr3	+	183882583	183882994	183882583	183882719	183883209	183883279
2057	"ENSG00000134575.13_7"	"ACP2"	chr11	-	47269191	47269684	47269588	47269684	47267232	47267385
