ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
63	"ENSG00000225470.8_6"	"JPX"	chrX	+	73218788	73219504	73218788	73218886	73219020	73219504	63	95,39	0,0			233	99	NA	NA	1.0,1.0		NA
64	"ENSG00000225470.8_6"	"JPX"	chrX	+	73218602	73220331	73218602	73218679	73219189	73220331	64	182,98	0,6			609	99	NA	NA	1.0,0.726		NA
65	"ENSG00000269502.5_6"	"DMRTC1"	chrX	-	72093383	72093776	72093383	72093531	72093715	72093776	65	0,0	0,0			283	99	NA	NA	NA,NA		NA
66	"ENSG00000147162.14_4"	"OGT"	chrX	+	70764416	70767873	70764416	70764485	70767756	70767873	66	12651,7694	106,92			3370	99	NA	NA	0.778,0.711		NA
67	"ENSG00000147140.16_8"	"NONO"	chrX	+	70517685	70518358	70517685	70517788	70518318	70518358	67	758,582	1905,1572			629	99	NA	NA	0.059,0.055		NA
68	"ENSG00000147130.14_5"	"ZMYM3"	chrX	-	70467194	70467756	70467194	70467360	70467583	70467756	68	1,0	124,70			322	99	NA	NA	0.002,0.0		NA
69	"ENSG00000196338.13_6"	"NLGN3"	chrX	+	70386860	70387650	70386860	70387249	70387250	70387650	69	7,3	0,0			100	99	NA	NA	1.0,1.0		NA
70	"ENSG00000147168.13_6"	"IL2RG"	chrX	-	70330005	70330538	70330005	70330145	70330353	70330538	70	2,3	135,88			307	99	NA	NA	0.005,0.011		NA
71	"ENSG00000285171.1_3"	"AL590764.2"	chrX	-	70325849	70326276	70325849	70325987	70326189	70326276	71	6,11	0,2			301	99	NA	NA	1.0,0.644		NA
72	"ENSG00000285171.1_3"	"AL590764.2"	chrX	-	70325849	70326276	70325849	70325987	70326203	70326276	72	6,11	0,0			315	99	NA	NA	1.0,1.0		NA
73	"ENSG00000285171.1_3"	"AL590764.2"	chrX	-	70325849	70326276	70325849	70325987	70326208	70326276	73	6,11	0,2			320	99	NA	NA	1.0,0.63		NA
74	"ENSG00000285171.1_3"	"AL590764.2"	chrX	-	70330746	70331421	70330746	70330900	70331274	70331421	74	31,28	151,146			473	99	NA	NA	0.041,0.039		NA
75	"ENSG00000130055.13_2"	"GDPD2"	chrX	+	69649342	69649913	69649342	69649564	69649764	69649913	75	0,0	0,0			299	99	NA	NA	NA,NA		NA
76	"ENSG00000120509.10_3"	"PDZD11"	chrX	-	69509104	69509443	69509104	69509204	69509371	69509443	76	28,18	44,29			266	99	NA	NA	0.191,0.188		NA
77	"ENSG00000126970.16_5"	"ZC4H2"	chrX	-	64138921	64139084	64138921	64138943	64139072	64139084	77	41,36	0,0			228	99	NA	NA	1.0,1.0		NA
78	"ENSG00000131089.17_9"	"ARHGEF9"	chrX	-	62854882	62858089	62854882	62856797	62857929	62858089	78	2,2	0,0			1231	99	NA	NA	1.0,1.0		NA
79	"ENSG00000235437.8_8"	"LINC01278"	chrX	-	62458872	62459710	62458872	62458939	62459666	62459710	79	0,0	2,0			826	99	NA	NA	0.0,NA		NA
80	"ENSG00000067445.21_9"	"TRO"	chrX	+	54953015	54953538	54953015	54953058	54953475	54953538	80	5,8	0,2			516	99	NA	NA	1.0,0.434		NA
81	"ENSG00000067445.21_9"	"TRO"	chrX	+	54955035	54955143	54955035	54955101	54955102	54955143	81	0,2	0,0			100	99	NA	NA	NA,1.0		NA
82	"ENSG00000067445.21_9"	"TRO"	chrX	+	54955035	54957464	54955035	54955143	54957173	54957464	82	6,14	0,0			2129	99	NA	NA	1.0,1.0		NA
83	"ENSG00000102316.17_4"	"MAGED2"	chrX	+	54836154	54836646	54836154	54836250	54836304	54836646	83	221,133	0,0			153	99	NA	NA	1.0,1.0		NA
84	"ENSG00000102316.17_4"	"MAGED2"	chrX	+	54836154	54836646	54836154	54836241	54836355	54836646	84	509,298	0,0			213	99	NA	NA	1.0,1.0		NA
85	"ENSG00000102316.17_4"	"MAGED2"	chrX	+	54837253	54837562	54837253	54837337	54837478	54837562	85	324,292	0,0			240	99	NA	NA	1.0,1.0		NA
86	"ENSG00000102316.17_4"	"MAGED2"	chrX	+	54841680	54842440	54841680	54842123	54842313	54842440	86	14,20	80,54			289	99	NA	NA	0.057,0.113		NA
87	"ENSG00000154545.16_4"	"MAGED4"	chrX	+	51929492	51930941	51929492	51930326	51930737	51930941	87	0,0	0,0			510	99	NA	NA	NA,NA		NA
88	"ENSG00000154545.16_4"	"MAGED4"	chrX	+	51931301	51931861	51931301	51931381	51931769	51931861	88	0,0	0,0			487	99	NA	NA	NA,NA		NA
89	"ENSG00000154545.16_4"	"MAGED4"	chrX	+	51934526	51934957	51934526	51934825	51934939	51934957	89	0,0	0,0			213	99	NA	NA	NA,NA		NA
90	"ENSG00000179222.18_5"	"MAGED1"	chrX	+	51640890	51641289	51640890	51640982	51641209	51641289	90	0,3	211,130			326	99	NA	NA	0.0,0.007		NA
91	"ENSG00000179222.18_5"	"MAGED1"	chrX	+	51644648	51645450	51644648	51645034	51645241	51645450	91	4,10	82,72			306	99	NA	NA	0.016,0.043		NA
92	"ENSG00000158352.15_4"	"SHROOM4"	chrX	-	50334646	50339964	50334646	50335144	50338697	50339964	92	0,0	0,0			3652	99	NA	NA	NA,NA		NA
93	"ENSG00000012211.13_6"	"PRICKLE3"	chrX	-	49034341	49034824	49034341	49034528	49034620	49034824	93	7,5	63,90			191	99	NA	NA	0.054,0.028		NA
94	"ENSG00000147144.13_7"	"CCDC120"	chrX	+	48924711	48926744	48924711	48925626	48926079	48926744	94	116,60	1,1			552	99	NA	NA	0.954,0.915		NA
95	"ENSG00000126768.12_4"	"TIMM17B"	chrX	-	48751182	48751508	48751182	48751293	48751379	48751508	95	50,23	561,826			185	99	NA	NA	0.046,0.015		NA
96	"ENSG00000102103.16_8"	"PQBP1"	chrX	+	48759509	48760072	48759509	48759661	48760008	48760072	96	1674,1267	24,26			446	99	NA	NA	0.939,0.915		NA
97	"ENSG00000102103.16_8"	"PQBP1"	chrX	+	48759509	48760072	48759509	48759794	48760008	48760072	97	71,48	555,523			313	99	NA	NA	0.039,0.028		NA
98	"ENSG00000102103.16_8"	"PQBP1"	chrX	+	48759509	48760361	48759509	48760072	48760204	48760361	98	20,20	540,548			231	99	NA	NA	0.016,0.015		NA
99	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48664037	48664871	48664037	48664078	48664774	48664871	99	76,35	260,128			795	99	NA	NA	0.035,0.033		NA
100	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48664037	48664871	48664037	48664186	48664774	48664871	100	64,29	0,0			687	99	NA	NA	1.0,1.0		NA
101	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48673081	48673300	48673081	48673147	48673240	48673300	101	57,32	85,109			192	99	NA	NA	0.257,0.131		NA
102	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48673368	48673897	48673368	48673458	48673790	48673897	102	253,178	63,92			431	99	NA	NA	0.48,0.308		NA
103	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48676447	48676819	48676447	48676516	48676626	48676819	103	5,12	64,89			209	99	NA	NA	0.036,0.06		NA
104	"ENSG00000094631.21_8"	"HDAC6"	chrX	+	48681321	48681998	48681321	48681428	48681530	48681998	104	414,335	0,0			201	99	NA	NA	1.0,1.0		NA
105	"ENSG00000101940.18_4"	"WDR13"	chrX	+	48455879	48456425	48455879	48456002	48456345	48456425	105	67,90	4,31			442	99	NA	NA	0.79,0.394		NA
106	"ENSG00000068354.16_6"	"TBC1D25"	chrX	+	48417284	48417734	48417284	48417412	48417545	48417734	106	6,4	35,39			232	99	NA	NA	0.068,0.042		NA
107	"ENSG00000102312.22_6"	"PORCN"	chrX	+	48370279	48370895	48370279	48370323	48370713	48370895	107	8,8	7,14			489	99	NA	NA	0.188,0.104		NA
108	"ENSG00000068438.15_5"	"FTSJ1"	chrX	+	48336348	48336906	48336348	48336556	48336836	48336906	108	29,29	205,225			379	99	NA	NA	0.036,0.033		NA
109	"ENSG00000068438.15_5"	"FTSJ1"	chrX	+	48339813	48340103	48339813	48339916	48340019	48340103	109	42,38	677,556			202	99	NA	NA	0.03,0.032		NA
110	"ENSG00000068438.15_5"	"FTSJ1"	chrX	+	48340984	48341415	48340984	48341182	48341373	48341415	110	259,214	247,260			290	99	NA	NA	0.264,0.219		NA
111	"ENSG00000126759.13_6"	"CFP"	chrX	-	47487500	47489073	47487500	47487676	47488922	47489073	111	0,8	4,5			1345	99	NA	NA	0.0,0.105		NA
112	"ENSG00000102226.10_5"	"USP11"	chrX	+	47098749	47099306	47098749	47098880	47099188	47099306	112	3,1	86,65			407	99	NA	NA	0.008,0.004		NA
113	"ENSG00000102226.10_5"	"USP11"	chrX	+	47106470	47106818	47106470	47106620	47106702	47106818	113	7,6	103,87			181	99	NA	NA	0.036,0.036		NA
114	"ENSG00000102226.10_5"	"USP11"	chrX	+	47106702	47107098	47106702	47106818	47107009	47107098	114	8,8	136,115			290	99	NA	NA	0.02,0.023		NA
115	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47082950	47083158	47082950	47083003	47083147	47083158	115	802,598	0,0			243	99	NA	NA	1.0,1.0		NA
116	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47085363	47086102	47085363	47085426	47085981	47086102	116	331,223	15,7			654	99	NA	NA	0.77,0.828		NA
117	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47086392	47086622	47086392	47086498	47086558	47086622	117	8,3	1,3			159	99	NA	NA	0.833,0.384		NA
118	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47086392	47086622	47086392	47086498	47086579	47086622	118	12,3	408,282			180	99	NA	NA	0.016,0.006		NA
119	"ENSG00000102225.16_10"	"CDK16"	chrX	+	47087965	47088389	47087965	47088043	47088129	47088389	119	22,8	310,279			185	99	NA	NA	0.037,0.015		NA
120	"ENSG00000130988.13_5"	"RGN"	chrX	+	46939715	46940706	46939715	46940335	46940528	46940706	120	0,0	0,0			292	99	NA	NA	NA,NA		NA
121	"ENSG00000185753.13_5"	"CXorf38"	chrX	-	40486172	40490025	40486172	40489414	40489865	40490025	121	31,12	53,50			550	99	NA	NA	0.095,0.041		NA
122	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38146346	38147294	38146346	38146498	38147113	38147294	122	5,11	33,18			714	99	NA	NA	0.021,0.078		NA
123	"ENSG00000156313.15_7"	"RPGR"	chrX	-	38146346	38147294	38146346	38146498	38147117	38147294	123	5,11	0,1			718	99	NA	NA	1.0,0.603		NA
124	"ENSG00000205542.11_4"	"TMSB4X"	chrX	+	12993228	12994480	12993228	12993287	12994364	12994480	124	378,506	12645,16295			1176	99	NA	NA	0.003,0.003		NA
125	"ENSG00000177138.17_6"	"FAM9B"	chrX	-	8998301	9000202	8998301	8998401	9000170	9000202	125	22,15	35,20			1868	99	NA	NA	0.032,0.038		NA
126	"ENSG00000177138.17_6"	"FAM9B"	chrX	-	9000381	9001116	9000381	9000502	9000999	9001116	126	0,2	26,14			596	99	NA	NA	0.0,0.023		NA
127	"ENSG00000182583.12_5"	"VCX"	chrX	+	7811538	7812184	7811538	7811810	7812050	7812184	127	25,21	0,0			339	99	NA	NA	1.0,1.0		NA
128	"ENSG00000167393.18_8"	"PPP2R3B"	chrX	-	302041	302666	302041	302131	302617	302666	128	2,10	43,30			585	99	NA	NA	0.008,0.053		NA
129	"ENSG00000100299.18_5"	"ARSA"	chr22	-	51065018	51065834	51065018	51065188	51065593	51065834	129	11,36	3,0			504	99	NA	NA	0.419,1.0		NA
130	"ENSG00000100299.18_5"	"ARSA"	chr22	-	51065983	51066598	51065983	51066220	51066373	51066598	130	1,35	0,4			252	99	NA	NA	1.0,0.775		NA
131	"ENSG00000025708.14_7"	"TYMP"	chr22	-	50964429	50964905	50964429	50964570	50964674	50964905	131	0,0	0,1			203	99	NA	NA	NA,0.0		NA
132	"ENSG00000025708.14_7"	"TYMP"	chr22	-	50964429	50964905	50964429	50964585	50964674	50964905	132	0,0	0,0			188	99	NA	NA	NA,NA		NA
133	"ENSG00000100258.18_7"	"LMF2"	chr22	-	50942768	50943156	50942768	50942880	50942987	50943156	133	4,12	14,60			206	99	NA	NA	0.121,0.088		NA
134	"ENSG00000100258.18_7"	"LMF2"	chr22	-	50943485	50943966	50943485	50943582	50943831	50943966	134	10,19	0,2			348	99	NA	NA	1.0,0.73		NA
135	"ENSG00000205593.12_6"	"DENND6B"	chr22	-	50752242	50752701	50752242	50752307	50752635	50752701	135	7,16	23,26			427	99	NA	NA	0.066,0.125		NA
136	"ENSG00000205593.12_6"	"DENND6B"	chr22	-	50754453	50754904	50754453	50754516	50754798	50754904	136	5,5	1,0			381	99	NA	NA	0.565,1.0		NA
137	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50716281	50716442	50716281	50716388	50716389	50716442	137	78,57	0,0			100	99	NA	NA	1.0,1.0		NA
138	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50716281	50716442	50716281	50716393	50716395	50716442	138	77,56	0,0			101	99	NA	NA	1.0,1.0		NA
139	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50716545	50716700	50716545	50716693	50716694	50716700	139	12,47	0,0			100	99	NA	NA	1.0,1.0		NA
140	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50716863	50716948	50716863	50716866	50716868	50716948	140	11,41	0,0			101	99	NA	NA	1.0,1.0		NA
141	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50717024	50717125	50717024	50717094	50717095	50717125	141	8,75	0,0			100	99	NA	NA	1.0,1.0		NA
142	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50717283	50717440	50717283	50717310	50717311	50717440	142	15,42	0,0			100	99	NA	NA	1.0,1.0		NA
143	"ENSG00000196576.15_6"	"PLXNB2"	chr22	-	50719788	50720171	50719788	50719928	50719994	50720171	143	0,7	14,45			165	99	NA	NA	0.0,0.085		NA
144	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50684103	50684521	50684103	50684256	50684338	50684521	144	16,18	14,35			181	99	NA	NA	0.385,0.22		NA
145	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50684726	50685164	50684726	50684805	50685107	50685164	145	16,18	6,27			401	99	NA	NA	0.397,0.141		NA
146	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50685107	50685395	50685107	50685164	50685303	50685395	146	11,14	4,15			238	99	NA	NA	0.534,0.28		NA
147	"ENSG00000100429.18_6"	"HDAC10"	chr22	-	50686653	50686901	50686653	50686721	50686794	50686901	147	3,11	10,71			172	99	NA	NA	0.147,0.082		NA
148	"ENSG00000128159.12_9"	"TUBGCP6"	chr22	-	50656346	50656831	50656346	50656546	50656617	50656831	148	3,25	7,30			170	99	NA	NA	0.2,0.327		NA
149	"ENSG00000128159.12_9"	"TUBGCP6"	chr22	-	50657716	50658220	50657716	50657885	50658072	50658220	149	0,3	1,24			286	99	NA	NA	0.0,0.041		NA
150	"ENSG00000128159.12_9"	"TUBGCP6"	chr22	-	50658385	50660303	50658385	50658444	50658620	50660303	150	18,48	1,0			275	99	NA	NA	0.866,1.0		NA
151	"ENSG00000128159.12_9"	"TUBGCP6"	chr22	-	50658385	50660303	50658385	50658444	50658679	50660303	151	23,58	8,6			334	99	NA	NA	0.46,0.741		NA
152	"ENSG00000128159.12_9"	"TUBGCP6"	chr22	-	50658385	50660303	50658385	50658444	50659703	50660303	152	584,971	0,0			1358	99	NA	NA	1.0,1.0		NA
153	"ENSG00000075275.17_7"	"CELSR1"	chr22	-	46757070	46760148	46757070	46759144	46759892	46760148	153	0,0	0,0			847	99	NA	NA	NA,NA		NA
154	"ENSG00000100416.15_6"	"TRMU"	chr22	+	46751340	46753234	46751340	46751485	46752738	46753234	154	56,124	2,9			1352	99	NA	NA	0.672,0.502		NA
155	"ENSG00000186654.21_7"	"PRR5"	chr22	+	45098097	45098488	45098097	45098289	45098371	45098488	155	0,0	0,0			181	99	NA	NA	NA,NA		NA
156	"ENSG00000172250.16_6"	"SERHL"	chr22	+	42898356	42898774	42898356	42898398	42898754	42898774	156	1,10	4,0			455	99	NA	NA	0.052,1.0		NA
157	"ENSG00000172250.16_6"	"SERHL"	chr22	+	42906636	42907933	42906636	42906730	42907821	42907933	157	1004,690	48,25			1190	99	NA	NA	0.635,0.697		NA
158	"ENSG00000205702.11_7"	"CYP2D7"	chr22	-	42537271	42537406	42537271	42537377	42537380	42537406	158	1,3	0,0			102	99	NA	NA	1.0,1.0		NA
