ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2072	"ENSG00000159176.14_6"	"CSRP1"	chr1	-	201454410	201458112	201454410	201454504	201458000	201458112
2151	"ENSG00000198198.17_9"	"SZT2"	chr1	+	43911849	43912839	43911849	43911930	43912625	43912839
2163	"ENSG00000125459.17_6"	"MSTO1"	chr1	+	155581006	155581394	155581006	155581146	155581217	155581394
2189	"ENSG00000116691.11_4"	"MIIP"	chr1	+	12089279	12090181	12089279	12089338	12090084	12090181
2210	"ENSG00000016864.18_7"	"GLT8D1"	chr3	-	52729205	52730056	52729205	52729318	52729943	52730056
2317	"ENSG00000233058.2_7"	"LINC00884"	chr3	+	194207874	194209455	194207874	194207901	194208582	194209455
2341	"ENSG00000213930.12_6"	"GALT"	chr9	+	34647488	34647958	34647488	34647564	34647828	34647958
2414	"ENSG00000148337.21_8"	"CIZ1"	chr9	-	130940987	130941694	130940987	130941183	130941651	130941694
2419	"ENSG00000172432.19_7"	"GTPBP2"	chr6	-	43588226	43589527	43588226	43589253	43589458	43589527
2446	"ENSG00000065357.20_5"	"DGKA"	chr12	+	56345406	56346215	56345406	56345567	56346124	56346215
2463	"ENSG00000164068.16_4"	"RNF123"	chr3	+	49737100	49737997	49737100	49737205	49737904	49737997
2476	"ENSG00000063177.13_7"	"RPL18"	chr19	-	49119335	49120680	49119335	49119459	49120572	49120680
2510	"ENSG00000255717.7_5"	"SNHG1"	chr11	-	62621272	62623309	62621272	62622023	62622895	62623309
2538	"ENSG00000114859.16_6"	"CLCN2"	chr3	-	184072691	184074882	184072691	184072761	184073481	184074882
2551	"ENSG00000108671.11_8"	"PSMD11"	chr17	+	30806268	30807215	30806268	30806394	30807163	30807215
2680	"ENSG00000112739.17_6"	"PRPF4B"	chr6	+	4060646	4062533	4060646	4060920	4061888	4062533
2681	"ENSG00000112739.17_6"	"PRPF4B"	chr6	+	4060646	4062533	4060646	4061381	4062446	4062533
2704	"ENSG00000090539.15_5"	"CHRD"	chr3	+	184103833	184104726	184103833	184103947	184104632	184104726
2759	"ENSG00000131697.18_7"	"NPHP4"	chr1	-	5924397	5926518	5924397	5924577	5926432	5926518
2763	"ENSG00000041357.16_5"	"PSMA4"	chr15	+	78832785	78834987	78832785	78832881	78834518	78834987
2915	"ENSG00000008300.17_6"	"CELSR3"	chr3	-	48680168	48681363	48680168	48680317	48680986	48681363
2945	"ENSG00000233184.7_8"	"AC093157.1"	chr1	+	101545944	101549130	101545944	101546169	101546442	101549130
3008	"ENSG00000135451.13_7"	"TROAP"	chr12	+	49723927	49725190	49723927	49724356	49724996	49725190
3060	"ENSG00000165699.15_8"	"TSC1"	chr9	-	135785957	135786955	135785957	135786076	135786839	135786955
3144	"ENSG00000009830.11_9"	"POMT2"	chr14	-	77745879	77746271	77745879	77745929	77746165	77746271
3161	"ENSG00000214087.8_7"	"ARL16"	chr17	-	79649063	79650624	79649063	79649705	79650565	79650624
3212	"ENSG00000082068.9_4"	"WDR70"	chr5	+	37721216	37725152	37721216	37721317	37725035	37725152
3269	"ENSG00000132424.16_7"	"PNISR"	chr6	-	99862447	99864304	99862447	99862562	99864224	99864304
3324	"ENSG00000143369.15_5"	"ECM1"	chr1	+	150482136	150482478	150482136	150482238	150482310	150482478
3355	"ENSG00000204472.13_5"	"AIF1"	chr6	+	31583446	31584283	31583446	31583513	31584120	31584283
3362	"ENSG00000162927.14_5"	"PUS10"	chr2	-	61192192	61194748	61192192	61192238	61194636	61194748
3391	"ENSG00000143093.15_5"	"STRIP1"	chr1	+	110591733	110593031	110591733	110591860	110592964	110593031
3476	"ENSG00000213983.12_6"	"AP1G2"	chr14	-	24032924	24033430	24032924	24033062	24033254	24033430
3524	"ENSG00000223960.7_9"	"CHROMR"	chr2	+	179291092	179295616	179291092	179291232	179295421	179295616
3527	"ENSG00000223960.7_9"	"CHROMR"	chr2	+	179291092	179295616	179291092	179291430	179295421	179295616
3534	"ENSG00000064201.16_8"	"TSPAN32"	chr11	+	2335714	2337897	2335714	2335801	2337805	2337897
3554	"ENSG00000133816.15_8"	"MICAL2"	chr11	+	12281341	12285332	12281341	12281444	12285106	12285332
3621	"ENSG00000104886.12_5"	"PLEKHJ1"	chr19	-	2234148	2235989	2234148	2234239	2235921	2235989
3678	"ENSG00000153187.20_9"	"HNRNPU"	chr1	-	245009905	245017805	245009905	245010008	245017619	245017805
3683	"ENSG00000156345.17_4"	"CDK20"	chr9	-	90584108	90585812	90584108	90584264	90585482	90585812
3693	"ENSG00000089157.16_7"	"RPLP0"	chr12	-	120637112	120638913	120637112	120637288	120638885	120638913
3706	"ENSG00000114786.16_8"	"ABHD14A-ACY1"	chr3	+	52020620	52021469	52020620	52020677	52021324	52021469
3708	"ENSG00000114786.16_8"	"ABHD14A-ACY1"	chr3	+	52020620	52022619	52020620	52021077	52022539	52022619
3741	"ENSG00000178149.17_7"	"DALRD3"	chr3	-	49053236	49053773	49053236	49053305	49053590	49053773
3820	"ENSG00000284770.2_6"	"TBCE"	chr1	+	235599059	235599923	235599059	235599155	235599858	235599923
3903	"ENSG00000165271.17_6"	"NOL6"	chr9	-	33469204	33470189	33469204	33469339	33470009	33470189
3918	"ENSG00000164889.14_7"	"SLC4A2"	chr7	+	150771125	150771928	150771125	150771380	150771761	150771928
3960	"ENSG00000128708.13_5"	"HAT1"	chr2	+	172822307	172823470	172822307	172822429	172823363	172823470
4001	"ENSG00000221968.9_8"	"FADS3"	chr11	-	61643830	61645687	61643830	61643927	61645626	61645687
4002	"ENSG00000221968.9_8"	"FADS3"	chr11	-	61643830	61645687	61643830	61644435	61645626	61645687
4034	"ENSG00000163516.14_5"	"ANKZF1"	chr2	+	220098854	220100597	220098854	220100034	220100429	220100597
4040	"ENSG00000100650.16_5"	"SRSF5"	chr14	+	70235514	70237257	70235514	70235613	70237183	70237257
4072	"ENSG00000198830.11_4"	"HMGN2"	chr1	+	26799973	26800626	26799973	26800018	26800575	26800626
4084	"ENSG00000215301.10_9"	"DDX3X"	chrX	+	41201989	41203381	41201989	41202089	41203282	41203381
4139	"ENSG00000166394.15_5"	"CYB5R2"	chr11	-	7689708	7693754	7689708	7689792	7693681	7693754
4175	"ENSG00000159377.11_4"	"PSMB4"	chr1	+	151372917	151373831	151372917	151373064	151373714	151373831
4208	"ENSG00000144635.9_5"	"DYNC1LI1"	chr3	-	32571775	32574589	32571775	32571820	32574477	32574589
4228	"ENSG00000138668.19_8"	"HNRNPD"	chr4	-	83274981	83278048	83274981	83275307	83277948	83278048
4232	"ENSG00000162772.17_7"	"ATF3"	chr1	+	212788363	212788603	212788363	212788402	212788493	212788603
4245	"ENSG00000175048.17_6"	"ZDHHC14"	chr6	+	158049380	158049518	158049380	158049406	158049479	158049518
4249	"ENSG00000143549.21_8"	"TPM3"	chr1	-	154143124	154145454	154143124	154143187	154145383	154145454
4267	"ENSG00000005448.17_6"	"WDR54"	chr2	+	74650445	74651109	74650445	74650512	74650981	74651109
4364	"ENSG00000119715.15_6"	"ESRRB"	chr14	+	76964556	76968180	76964556	76964795	76967037	76968180
4390	"ENSG00000106462.11_6"	"EZH2"	chr7	-	148513775	148515209	148513775	148513870	148514968	148515209
4455	"ENSG00000104957.14_6"	"CCDC130"	chr19	+	13869681	13870086	13869681	13869824	13869924	13870086
4467	"ENSG00000131469.15_5"	"RPL27"	chr17	+	41150435	41152119	41150435	41150488	41151949	41152119
4497	"ENSG00000171824.14_6"	"EXOSC10"	chr1	-	11136898	11137708	11136898	11137005	11137657	11137708
4525	"ENSG00000105426.17_6"	"PTPRS"	chr19	-	5218430	5219478	5218430	5218543	5219320	5219478
4538	"ENSG00000090621.14_8"	"PABPC4"	chr1	-	40026487	40027875	40026487	40026794	40027744	40027875
4561	"ENSG00000076706.17_7"	"MCAM"	chr11	-	119181465	119182131	119181465	119181613	119181989	119182131
4659	"ENSG00000160948.14_7"	"VPS28"	chr8	-	145650100	145651155	145650100	145650202	145651065	145651155
4663	"ENSG00000160948.14_7"	"VPS28"	chr8	-	145650328	145651591	145650328	145651155	145651562	145651591
4678	"ENSG00000197363.9_5"	"ZNF517"	chr8	+	146028254	146029623	146028254	146028332	146029530	146029623
4695	"ENSG00000197816.16_6"	"CCDC180"	chr9	+	100132922	100136930	100132922	100133060	100136824	100136930
4720	"ENSG00000265241.7_6"	"RBM8A"	chr1	+	145508015	145508611	145508015	145508075	145508474	145508611
4752	"ENSG00000084207.18_6"	"GSTP1"	chr11	+	67351604	67352712	67351604	67351640	67352608	67352712
4774	"ENSG00000204790.8"	"CBWD6"	chr9	-	69204537	69206799	69204537	69205069	69206733	69206799
4797	"ENSG00000064932.16_5"	"SBNO2"	chr19	-	1109133	1109597	1109133	1109210	1109504	1109597
4841	"ENSG00000092929.11_7"	"UNC13D"	chr17	-	73835919	73836410	73835919	73836023	73836305	73836410
4901	"ENSG00000197989.14_8"	"SNHG12"	chr1	-	28906044	28907158	28906044	28906099	28907071	28907158
4904	"ENSG00000197989.14_8"	"SNHG12"	chr1	-	28906423	28907741	28906423	28906493	28907622	28907741
4912	"ENSG00000130714.17_5"	"POMT1"	chr9	+	134385289	134385802	134385289	134385383	134385743	134385802
4925	"ENSG00000187796.15_7"	"CARD9"	chr9	-	139258934	139261297	139258934	139259011	139261251	139261297
4952	"ENSG00000161638.11_6"	"ITGA5"	chr12	-	54793428	54794779	54793428	54793542	54794629	54794779
5052	"ENSG00000146802.13_6"	"TMEM168"	chr7	-	112423752	112425008	112423752	112423838	112424909	112425008
5061	"ENSG00000178761.15_6"	"FAM219B"	chr15	-	75192332	75195127	75192332	75192478	75194944	75195127
5064	"ENSG00000178761.15_6"	"FAM219B"	chr15	-	75197004	75198706	75197004	75197053	75198618	75198706
5076	"ENSG00000151208.17_6"	"DLG5"	chr10	-	79579078	79581859	79579078	79579223	79580839	79581859
5156	"ENSG00000124228.14_8"	"DDX27"	chr20	+	47850104	47852768	47850104	47850246	47852686	47852768
5179	"ENSG00000214279.13_4"	"SCART1"	chr10	+	135270782	135272830	135270782	135271079	135272524	135272830
5193	"ENSG00000142102.16_10"	"PGGHG"	chr11	+	292885	293502	292885	292997	293365	293502
5199	"ENSG00000185101.13_5"	"ANO9"	chr11	-	431693	433459	431693	431767	433313	433459
5223	"ENSG00000135476.12_5"	"ESPL1"	chr12	+	53683187	53684253	53683187	53683378	53684130	53684253
5270	"ENSG00000179532.13_7"	"DNHD1"	chr11	+	6591238	6592653	6591238	6591330	6591847	6592653
5274	"ENSG00000166340.17_7"	"TPP1"	chr11	-	6636672	6638090	6636672	6636793	6637545	6638090
5317	"ENSG00000140854.13_5"	"KATNB1"	chr16	+	57770889	57771195	57770889	57770979	57771137	57771195
5341	"ENSG00000126522.17_5"	"ASL"	chr7	+	65551730	65552778	65551730	65551808	65552715	65552778
5371	"ENSG00000125691.14_8"	"RPL23"	chr17	-	37006333	37008985	37006333	37006467	37008856	37008985
5416	"ENSG00000223745.8_9"	"CCDC18-AS1"	chr1	-	93803786	93804831	93803786	93803825	93804712	93804831
5423	"ENSG00000168067.12_10"	"MAP4K2"	chr11	-	64559380	64559894	64559380	64559558	64559835	64559894
5446	"ENSG00000204713.11_5"	"TRIM27"	chr6	-	28870778	28876617	28870778	28872442	28876584	28876617
5461	"ENSG00000172732.12_5"	"MUS81"	chr11	+	65632190	65632794	65632190	65632286	65632690	65632794
5563	"ENSG00000131470.14_4"	"PSMC3IP"	chr17	-	40725495	40726228	40725495	40725605	40726213	40726228
5586	"ENSG00000160695.14_3"	"VPS11"	chr11	+	118948882	118949707	118948882	118949044	118949504	118949707
5619	"ENSG00000141279.16_7"	"NPEPPS"	chr17	+	45656755	45660215	45656755	45656877	45660192	45660215
5652	"ENSG00000111640.15_5"	"GAPDH"	chr12	+	6645849	6647162	6645849	6646176	6646749	6647162
5666	"ENSG00000111684.11_5"	"LPCAT3"	chr12	-	7086528	7087669	7086528	7086687	7087502	7087669
5673	"ENSG00000108479.12_7"	"GALK1"	chr17	-	73758784	73759520	73758784	73758966	73759400	73759520
5756	"ENSG00000110844.13_5"	"PRPF40B"	chr12	+	50025642	50026663	50025642	50025708	50026637	50026663
5902	"ENSG00000089009.15_6"	"RPL6"	chr12	-	112844550	112846460	112844550	112844694	112846223	112846460
5916	"ENSG00000188878.19_7"	"FBF1"	chr17	-	73910202	73911013	73910202	73910373	73910827	73911013
5945	"ENSG00000026025.16_7"	"VIM"	chr10	+	17277167	17278378	17277167	17277388	17278292	17278378
5965	"ENSG00000079134.12_6"	"THOC1"	chr18	-	224923	225403	224923	224994	225336	225403
6028	"ENSG00000148362.11_7"	"PAXX"	chr9	+	139887091	139887695	139887091	139887152	139887504	139887695
6041	"ENSG00000100888.14_8"	"CHD8"	chr14	-	21863070	21864051	21863070	21863278	21863975	21864051
6054	"ENSG00000140365.16_5"	"COMMD4"	chr15	+	75631325	75632219	75631325	75631445	75632042	75632219
6084	"ENSG00000100911.16_6"	"PSME2"	chr14	-	24613608	24614482	24613608	24613677	24614451	24614482
6087	"ENSG00000100911.16_6"	"PSME2"	chr14	-	24614587	24615449	24614587	24614674	24615416	24615449
6112	"ENSG00000165525.18_5"	"NEMF"	chr14	-	50251642	50252038	50251642	50251722	50251937	50252038
6120	"ENSG00000100359.21_5"	"SGSM3"	chr22	+	40803020	40803572	40803020	40803075	40803416	40803572
6133	"ENSG00000039650.12_7"	"PNKP"	chr19	-	50364705	50365138	50364705	50364767	50365028	50365138
6137	"ENSG00000182944.17_6"	"EWSR1"	chr22	+	29684594	29687588	29684594	29684744	29687553	29687588
6142	"ENSG00000128951.14_5"	"DUT"	chr15	+	48633485	48634592	48633485	48633560	48634218	48634592
6155	"ENSG00000140043.11_4"	"PTGR2"	chr14	+	74343700	74346879	74343700	74343871	74346757	74346879
6224	"ENSG00000126581.13_6"	"BECN1"	chr17	-	40970561	40971627	40970561	40970698	40971565	40971627
6249	"ENSG00000169738.8_6"	"DCXR"	chr17	-	79994066	79994519	79994066	79994184	79994419	79994519
6250	"ENSG00000169738.8_6"	"DCXR"	chr17	-	79994066	79994519	79994066	79994198	79994419	79994519
6252	"ENSG00000169738.8_6"	"DCXR"	chr17	-	79994066	79994639	79994066	79994184	79994596	79994639
6253	"ENSG00000169738.8_6"	"DCXR"	chr17	-	79994066	79994639	79994066	79994324	79994596	79994639
6443	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	718487	718699	718487	718569	718658	718699
6452	"ENSG00000140983.14_5"	"RHOT2"	chr16	+	722253	722825	722253	722384	722702	722825
6491	"ENSG00000167962.14_7"	"ZNF598"	chr16	-	2052521	2053729	2052521	2052733	2053616	2053729
6569	"ENSG00000168488.18_7"	"ATXN2L"	chr16	+	28847253	28848558	28847253	28847497	28848068	28848558
6657	"ENSG00000102901.13_6"	"CENPT"	chr16	-	67863667	67865261	67863667	67863991	67865118	67865261
6665	"ENSG00000038358.15_5"	"EDC4"	chr16	+	67911411	67912178	67911411	67911559	67912068	67912178
6767	"ENSG00000137700.18_10"	"SLC37A4"	chr11	-	118895900	118897805	118895900	118896039	118897646	118897805
6804	"ENSG00000131899.11_5"	"LLGL1"	chr17	+	18143891	18145313	18143891	18144187	18145198	18145313
6943	"ENSG00000136450.13_7"	"SRSF1"	chr17	-	56082283	56083334	56082283	56082402	56083161	56083334
6983	"ENSG00000203875.13_8"	"SNHG5"	chr6	-	86387141	86387906	86387141	86387593	86387853	86387906
6996	"ENSG00000234741.8_9"	"GAS5"	chr1	-	173833394	173834420	173833394	173833442	173834366	173834420
7039	"ENSG00000187531.14_7"	"SIRT7"	chr17	-	79872169	79873388	79872169	79872406	79873315	79873388
7045	"ENSG00000146063.20_4"	"TRIM41"	chr5	+	180661173	180662808	180661173	180661349	180662353	180662808
7048	"ENSG00000132199.20_6"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
7101	"ENSG00000115282.21_8"	"TTC31"	chr2	+	74717370	74718311	74717370	74717600	74718254	74718311
7112	"ENSG00000099821.14_5"	"POLRMT"	chr19	-	617569	618586	617569	617655	618487	618586
