#Gene stable ID	Transcript stable ID	Gene name	Transcript start (bp)	Transcript end (bp)	Strand	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)
SPBC19F8.07	SPBC19F8.07.1	mcs6	3243309	3244568	1	II	3243309	3244568
SPCC594.01	SPCC594.01.1	SPCC594.01	352251	357773	1	III	352251	357773
SPSNORNA.49	SPSNORNA.49.1	snR97	170709	170856	1	I	170709	170856
SPNCRNA.1134	SPNCRNA.1134.1	SPCC594.03-antisense-1	361092	362377	-1	III	361092	362377
SPNCRNA.618	SPNCRNA.618.1	gpi7-antisense-1	176878	177943	-1	I	176878	177943
SPBC25H2.14	SPBC25H2.14.1	mug16	3250199	3251263	-1	II	3250199	3251263
SPAC13G6.13	SPAC13G6.13.1	SPAC13G6.13	198884	199231	1	I	198884	199231
SPBC25H2.08c	SPBC25H2.08c.1	mrs2	3269923	3271782	1	II	3269923	3271782
SPBC460.02c	SPBC460.02c.1	SPBC460.02c	8856	9803	-1	AB325691	8856	9803
SPCC594.06c	SPCC594.06c.1	vsl1	365598	367032	-1	III	365598	367032
SPBC25H2.05	SPBC25H2.05.1	egd2	3274928	3275541	-1	II	3274928	3275541
SPBC460.04c	SPBC460.04c.1	SPBC460.04c	14073	15248	-1	AB325691	14073	15248
SPAC24B11.05	SPAC24B11.05.1	SPAC24B11.05	204386	206081	1	I	204386	206081
SPBC25H2.02	SPBC25H2.02.1	trs1	3279821	3282554	-1	II	3279821	3282554
SPCC594.07c	SPCC594.07c.1	bqt3	367446	369010	-1	III	367446	369010
SPCC1682.05c	SPCC1682.05c.1	srp68	378099	381034	-1	III	378099	381034
SPBC20F10.03	SPBC20F10.03.1	SPBC20F10.03	3287675	3289422	1	II	3287675	3289422
SPCC1682.06	SPCC1682.06.1	SPCC1682.06	382193	383769	1	III	382193	383769
SPCC1682.07	SPCC1682.07.1	ssl1	384170	386047	1	III	384170	386047
SPCC1682.09c	SPCC1682.09c.1	ggc1	388657	390514	-1	III	388657	390514
SPCC1682.15	SPCC1682.15.1	mug122	401899	404951	1	III	401899	404951
SPBC460.01c	SPBC460.01c.1	SPBC460.01c	1479	3197	-1	AB325691	1479	3197
SPBC460.05	SPBC460.05.1	SPBC460.05	16470	18062	1	AB325691	16470	18062
SPCC1682.16	SPCC1682.16.1	rpt4	405538	407595	1	III	405538	407595
SPBC20F10.06	SPBC20F10.06.1	mad2	3294063	3295195	1	II	3294063	3295195
SPCC4G3.09c	SPCC4G3.09c.1	gyp3	455068	457759	1	III	455068	457759
SPNCRNA.04	SPNCRNA.04.1	prl4	3295176	3295428	-1	II	3295176	3295428
SPCC4G3.06c	SPCC4G3.06c.1	mrpl4	461951	462470	1	III	461951	462470
SPCC4G3.02	SPCC4G3.02.1	aph1	468323	469915	-1	III	468323	469915
SPBC20F10.07	SPBC20F10.07.1	SPBC20F10.07	3295412	3298548	1	II	3295412	3298548
SPMTR.01	SPMTR.01.1	mat2-Pc	3354	3753	-1	MTR	3354	3753
SPCC364.06	SPCC364.06.1	nap1	473598	475760	-1	III	473598	475760
SPMTR.04	SPMTR.04.1	mat3-Mc	15856	16401	1	MTR	15856	16401
SPCC364.05	SPCC364.05.1	vps3	475783	479092	-1	III	475783	479092
SPBC17D11.04c	SPBC17D11.04c.1	nto1	3310435	3313029	-1	II	3310435	3313029
SPAC24B11.06c	SPAC24B11.06c.1	sty1	206476	208044	-1	I	206476	208044
SPNCRNA.36	SPNCRNA.36.1	prl36	3313372	3313800	1	II	3313372	3313800
SPAC24B11.07c	SPAC24B11.07c.1	SPAC24B11.07c	208839	211275	-1	I	208839	211275
SPCC364.03	SPCC364.03.1	rpl1702	481893	482861	-1	III	481893	482861
SPNCRNA.142	SPNCRNA.142.1	SPNCRNA.142	213841	214818	1	I	213841	214818
SPBC17D11.08	SPBC17D11.08.1	SPBC17D11.08	3323993	3326011	1	II	3323993	3326011
SPCC970.11c	SPCC970.11c.1	wtf9	486985	489016	1	III	486985	489016
SPBC17D1.02	SPBC17D1.02.1	dph2	3329701	3331727	1	II	3329701	3331727
SPMTR.02	SPMTR.02.1	mat2-Pi	3861	4368	1	MTR	3861	4368
SPCC970.09	SPCC970.09.1	sec8	490016	495983	-1	III	490016	495983
SPNCRNA.1593	SPNCRNA.1593.1	acr1-antisense-1	3333406	3334893	-1	II	3333406	3334893
SPMTR.03	SPMTR.03.1	mat3-Mm	15593	15721	-1	MTR	15593	15721
SPAC24B11.11c	SPAC24B11.11c.1	sid2	221694	223991	-1	I	221694	223991
SPCC970.04c	SPCC970.04c.1	mob2	507476	510334	1	III	507476	510334
SPAC24B11.14	SPAC24B11.14.1	SPAC24B11.14	230545	231136	1	I	230545	231136
SPCC970.03	SPCC970.03.1	cbr1	509925	511627	-1	III	509925	511627
SPNCRNA.1142	SPNCRNA.1142.1	mis18-antisense-1	514111	514905	1	III	514111	514905
SPNCRNA.625	SPNCRNA.625.1	rps2601-antisense-1	235280	237141	1	I	235280	237141
SPBC11C11.02	SPBC11C11.02.1	imp2	3347171	3350452	1	II	3347171	3350452
SPAC806.03c	SPAC806.03c.1	rps2601	235533	236104	-1	I	235533	236104
SPCC970.01	SPCC970.01.1	rad16	514796	518379	-1	III	514796	518379
SPRRNA.01	SPRRNA.01.1	21S_rRNA	1	2822	1	MT	1	2822
SPAC806.11	SPAC806.11.1	SPAC806.11	237023	237885	-1	I	237023	237885
SPBC11C11.03	SPBC11C11.03.1	ndc80	3350765	3352972	1	II	3350765	3352972
SPCP31B10.02	SPCP31B10.02.1	SPCP31B10.02	525361	525831	1	III	525361	525831
SPNCRNA.03	SPNCRNA.03.1	prl3	237074	237848	-1	I	237074	237848
SPNCRNA.144	SPNCRNA.144.1	SPNCRNA.144	238509	238898	1	I	238509	238898
SPBC11C11.07	SPBC11C11.07.1	rpl1801	3361513	3362632	1	II	3361513	3362632
SPCP31B10.03c	SPCP31B10.03c.1	med31	525859	526837	-1	III	525859	526837
SPNCRNA.628	SPNCRNA.628.1	SPNCRNA.628	238998	240617	1	I	238998	240617
SPNCRNA.580	SPNCRNA.580.1	tdp1-antisense-1	529215	531143	-1	III	529215	531143
SPNCRNA.1595	SPNCRNA.1595.1	SPNCRNA.1595	3379312	3381141	-1	II	3379312	3381141
SPNCRNA.145	SPNCRNA.145.1	SPNCRNA.145	239730	240571	1	I	239730	240571
SPCP31B10.07	SPCP31B10.07.1	eft202	537298	539922	1	III	537298	539922
SPCP31B10.08c	SPCP31B10.08c.1	rpl35a	540206	540821	-1	III	540206	540821
SPAC806.05	SPAC806.05.1	SPAC806.05	244214	247574	1	I	244214	247574
SPMIT.02	SPMIT.02.1	SPMIT.02	5291	6445	1	MT	5291	6445
SPCC962.05	SPCC962.05.1	ast1	553995	556291	1	III	553995	556291
SPNCRNA.630	SPNCRNA.630.1	SPNCRNA.630	253719	255964	1	I	253719	255964
SPNCRNA.1143	SPNCRNA.1143.1	SPCC1672.03c-antisense-1	565548	568691	1	III	565548	568691
SPBC3B8.03	SPBC3B8.03.1	SPBC3B8.03	3391684	3393331	-1	II	3391684	3393331
SPAC1639.02c	SPAC1639.02c.1	trk2	255881	259505	-1	I	255881	259505
SPSNORNA.33	SPSNORNA.33.1	sno16	3393616	3393802	1	II	3393616	3393802
SPCC1672.04c	SPCC1672.04c.1	cox19	568462	569900	-1	III	568462	569900
SPAC1F5.07c	SPAC1F5.07c.1	hem14	276723	278573	1	I	276723	278573
SPBC13A2.01c	SPBC13A2.01c.1	cbc2	3397894	3400193	-1	II	3397894	3400193
SPMIT.03	SPMIT.03.1	SPMIT.03	6966	7718	1	MT	6966	7718
SPBC13A2.02	SPBC13A2.02.1	nup82	3400486	3403309	1	II	3400486	3403309
SPCC1672.08c	SPCC1672.08c.1	tfa2	579220	580386	-1	III	579220	580386
SPAC1F5.03c	SPAC1F5.03c.1	SPAC1F5.03c	289790	291927	1	I	289790	291927
SPBC13A2.03	SPBC13A2.03.1	SPBC13A2.03	3403501	3405610	1	II	3403501	3405610
SPCC1672.09	SPCC1672.09.1	SPCC1672.09	580500	582909	1	III	580500	582909
SPNCRNA.419	SPNCRNA.419.1	SPNCRNA.419	3408356	3410137	1	II	3408356	3410137
SPNCRNA.467	SPNCRNA.467.1	SPNCRNA.467	583036	583289	1	III	583036	583289
SPMITTRNATHR.01	SPMITTRNATHR.01.1	SPMITTRNATHR.01	9920	9992	1	MT	9920	9992
SPCC1183.04c	SPCC1183.04c.1	pet127	597500	599387	-1	III	597500	599387
SPCC1183.12	SPCC1183.12.1	spo13	604366	604961	-1	III	604366	604961
SPAC18B11.10	SPAC18B11.10.1	tup11	299278	301837	-1	I	299278	301837
SPNCRNA.1146	SPNCRNA.1146.1	SPNCRNA.1146	616785	618617	-1	III	616785	618617
SPNCRNA.27	SPNCRNA.27.1	prl27	299464	299610	1	I	299464	299610
SPCC31H12.03c	SPCC31H12.03c.1	SPCC31H12.03c	625104	626325	-1	III	625104	626325
SPCC31H12.07	SPCC31H12.07.1	sec231	634259	636996	1	III	634259	636996
SPNCRNA.1150	SPNCRNA.1150.1	smc6-antisense-1	652645	656485	-1	III	652645	656485
SPMIT.05	SPMIT.05.1	cob1	10173	13862	1	MT	10173	13862
SPAC18B11.03c	SPAC18B11.03c.1	SPAC18B11.03c	311920	314040	1	I	311920	314040
SPCC16C4.03	SPCC16C4.03.1	pin1	664514	666057	1	III	664514	666057
SPBC4B4.03	SPBC4B4.03.1	rsc1	3416010	3418693	1	II	3416010	3418693
SPCC16C4.06c	SPCC16C4.06c.1	pus3	668412	671378	-1	III	668412	671378
SPCC16C4.05	SPCC16C4.05.1	pop23	668532	669367	1	III	668532	669367
SPCC16C4.22	SPCC16C4.22.1	SPCC16C4.22	684656	685496	1	III	684656	685496
SPMIT.06	SPMIT.06.1	SPMIT.06	10857	13280	1	MT	10857	13280
SPAC12G12.15	SPAC12G12.15.1	sif3	316996	319185	-1	I	316996	319185
SPMITTRNAGLY.01	SPMITTRNAGLY.01.1	SPMITTRNAGLY.01	14314	14385	1	MT	14314	14385
SPMITTRNALEU.01	SPMITTRNALEU.01.1	SPMITTRNALEU.01	14394	14476	1	MT	14394	14476
SPAC12G12.10	SPAC12G12.10.1	wdr21	328196	329545	-1	I	328196	329545
SPMITTRNATRP.01	SPMITTRNATRP.01.1	SPMITTRNATRP.01	14492	14563	1	MT	14492	14563
SPAC12G12.08	SPAC12G12.08.1	mrpl1602	333178	334621	-1	I	333178	334621
SPSNORNA.29	SPSNORNA.29.1	sno52	339548	339642	-1	I	339548	339642
SPMITTRNALEU.02	SPMITTRNALEU.02.1	SPMITTRNALEU.02	14596	14669	1	MT	14596	14669
SPAC630.04c	SPAC630.04c.1	SPAC630.04c	350239	353340	-1	I	350239	353340
SPMITTRNAHIS.01	SPMITTRNAHIS.01.1	SPMITTRNAHIS.01	15550	15622	1	MT	15550	15622
SPMITTRNAGLN.01	SPMITTRNAGLN.01.1	SPMITTRNAGLN.01	15747	15819	1	MT	15747	15819
SPAC630.03	SPAC630.03.1	arp3	350406	352296	1	I	350406	352296
SPMITTRNAILE.01	SPMITTRNAILE.01.1	SPMITTRNAILE.01	16662	16734	1	MT	16662	16734
SPBC4B4.04	SPBC4B4.04.1	eif21	3418840	3421189	1	II	3418840	3421189
SPNCRNA.1600	SPNCRNA.1600.1	SPNCRNA.1600	3460382	3461190	-1	II	3460382	3461190
SPMIT.09	SPMIT.09.1	atp8	16914	17060	1	MT	16914	17060
SPAC630.05	SPAC630.05.1	gyp7	353783	356580	1	I	353783	356580
SPBC1718.05	SPBC1718.05.1	trs31	3478461	3479741	1	II	3478461	3479741
SPNCRNA.641	SPNCRNA.641.1	SPAC630.07c-antisense-1	358613	359235	1	I	358613	359235
SPMITTRNAVAL.01	SPMITTRNAVAL.01.1	SPMITTRNAVAL.01	17166	17238	1	MT	17166	17238
SPATRNAPRO.01	SPATRNAPRO.01.1	SPATRNAPRO.01	365155	365226	1	I	365155	365226
SPMITTRNAGLU.01	SPMITTRNAGLU.01.1	SPMITTRNAGLU.01	18404	18475	1	MT	18404	18475
SPAC630.12	SPAC630.12.1	SPAC630.12	368040	369950	1	I	368040	369950
SPBPB7E8.01	SPBPB7E8.01.1	SPBPB7E8.01	3491819	3496777	1	II	3491819	3496777
SPMIT.11	SPMIT.11.1	cox2	18561	19307	1	MT	18561	19307
SPAC1751.01c	SPAC1751.01c.1	gti1	377844	384751	-1	I	377844	384751
SPCC16C4.11	SPCC16C4.11.1	pef1	687754	688671	1	III	687754	688671
SPAC1751.02c	SPAC1751.02c.1	rsm19	384886	386195	-1	I	384886	386195
SPCC16C4.18c	SPCC16C4.18c.1	taf6	699064	701735	-1	III	699064	701735
SPAC31A2.03	SPAC31A2.03.1	mrp11	389391	390520	1	I	389391	390520
SPBC1105.02c	SPBC1105.02c.1	lys4	3505708	3507472	-1	II	3505708	3507472
SPAC31A2.04c	SPAC31A2.04c.1	pre1	390407	391260	-1	I	390407	391260
SPBC1105.03c	SPBC1105.03c.1	mrpl1601	3507523	3509173	-1	II	3507523	3509173
SPCC18B5.06	SPCC18B5.06.1	dom34	729054	730829	1	III	729054	730829
SPCC18B5.10c	SPCC18B5.10c.1	SPCC18B5.10c	738016	739255	-1	III	738016	739255
SPNCRNA.1155	SPNCRNA.1155.1	cds1-antisense-1	740307	741273	1	III	740307	741273
SPCC14G10.04	SPCC14G10.04.1	SPCC14G10.04	748677	751643	1	III	748677	751643
SPNCRNA.473	SPNCRNA.473.1	SPNCRNA.473	756719	757024	1	III	756719	757024
SPCC1020.11c	SPCC1020.11c.1	ecm6	757330	758483	1	III	757330	758483
SPMITTRNALYS.01	SPMITTRNALYS.01.1	SPMITTRNALYS.01	2857	2929	1	MT	2857	2929
SPAC31A2.05c	SPAC31A2.05c.1	mis4	391628	396999	-1	I	391628	396999
SPCC1020.08	SPCC1020.08.1	tyw1	767789	770340	-1	III	767789	770340
SPNCRNA.1159	SPNCRNA.1159.1	SPNCRNA.1159	772342	773345	-1	III	772342	773345
SPMITTRNAMET.02	SPMITTRNAMET.02.1	SPMITTRNAMET.02	14081	14153	1	MT	14081	14153
SPAC31A2.06	SPAC31A2.06.1	atp25	397426	402487	1	I	397426	402487
SPBC1105.04c	SPBC1105.04c.1	cbp1	3510427	3512444	-1	II	3510427	3512444
SPMITTRNAARG.02	SPMITTRNAARG.02.1	SPMITTRNAARG.02	17460	17532	1	MT	17460	17532
SPNCRNA.1608	SPNCRNA.1608.1	cbp1-antisense-2	3511045	3512464	1	II	3511045	3512464
SPCC1020.05	SPCC1020.05.1	SPCC1020.05	774790	777899	-1	III	774790	777899
SPMITTRNAALA.01	SPMITTRNAALA.01.1	SPMITTRNAALA.01	18057	18129	1	MT	18057	18129
SPCC1393.07c	SPCC1393.07c.1	mug4	806076	809247	-1	III	806076	809247
SPBC1105.05	SPBC1105.05.1	exg1	3514552	3516567	1	II	3514552	3516567
SPCC1393.12	SPCC1393.12.1	SPCC1393.12	823411	824429	1	III	823411	824429
SPCC63.02c	SPCC63.02c.1	aah3	833581	836015	-1	III	833581	836015
SPNCRNA.581	SPNCRNA.581.1	SPCC1393.03-antisense-1	838087	839594	-1	III	838087	839594
SPRRNA.55	SPRRNA.55.1	SPRRNA.55	853314	853428	-1	III	853314	853428
SPAC31A2.15c	SPAC31A2.15c.1	dcc1	417823	419996	-1	I	417823	419996
SPCC16A11.02	SPCC16A11.02.1	utp13	869674	872275	1	III	869674	872275
SPBC1105.10	SPBC1105.10.1	rav1	3524531	3528845	1	II	3524531	3528845
SPCC16A11.04	SPCC16A11.04.1	snx12	874032	877803	1	III	874032	877803
SPNCRNA.1610	SPNCRNA.1610.1	rav1-antisense-1	3526856	3528695	-1	II	3526856	3528695
SPCC16A11.13	SPCC16A11.13.1	luc7	892406	893836	1	III	892406	893836
SPAC31A2.16	SPAC31A2.16.1	gef2	419958	423991	1	I	419958	423991
SPBC1105.11c	SPBC1105.11c.1	hht3	3528800	3529657	-1	II	3528800	3529657
SPAC13C5.04	SPAC13C5.04.1	SPAC13C5.04	430056	431032	1	I	430056	431032
SPCC16A11.16c	SPCC16A11.16c.1	rpn1302	897608	899248	-1	III	897608	899248
SPNCRNA.1611	SPNCRNA.1611.1	hhf3-antisense-1	3529599	3530978	-1	II	3529599	3530978
SPSNORNA.01	SPSNORNA.01.1	snR40	431220	431301	1	I	431220	431301
SPCC24B10.02c	SPCC24B10.02c.1	SPCC24B10.02c	903283	905116	-1	III	903283	905116
SPAC13C5.06c	SPAC13C5.06c.1	mug121	434102	435179	-1	I	434102	435179
SPNCRNA.05	SPNCRNA.05.1	prl5	434104	434843	1	I	434104	434843
SPCC24B10.04	SPCC24B10.04.1	SPCC24B10.04	907402	908729	1	III	907402	908729
SPAC23E2.02	SPAC23E2.02.1	lsd2	446491	450726	1	I	446491	450726
SPCC24B10.10c	SPCC24B10.10c.1	yta4	918593	919938	-1	III	918593	919938
SPAC24H6.07	SPAC24H6.07.1	rps901	475354	476128	-1	I	475354	476128
SPMITTRNASER.01	SPMITTRNASER.01.1	SPMITTRNASER.01	2968	3050	1	MT	2968	3050
SPMITTRNAASN.01	SPMITTRNAASN.01.1	SPMITTRNAASN.01	3060	3130	1	MT	3060	3130
SPBC1105.14	SPBC1105.14.1	rsv2	3530760	3535288	1	II	3530760	3535288
SPCC24B10.12	SPCC24B10.12.1	cgi121	921391	921946	1	III	921391	921946
SPMITTRNAMET.01	SPMITTRNAMET.01.1	SPMITTRNAMET.01	4591	4665	1	MT	4591	4665
SPCTRNAARG.09	SPCTRNAARG.09.1	SPCTRNAARG.09	925852	925924	1	III	925852	925924
SPBC1105.13c	SPBC1105.13c.1	SPBC1105.13c	3531243	3532680	-1	II	3531243	3532680
SPCC24B10.15	SPCC24B10.15.1	swt1	927401	929438	1	III	927401	929438
SPMIT.01	SPMIT.01.1	cox1	4886	8790	1	MT	4886	8790
SPNCRNA.1613	SPNCRNA.1613.1	SPBC887.02-antisense-1	3541279	3542882	-1	II	3541279	3542882
SPMITTRNAARG.01	SPMITTRNAARG.01.1	SPMITTRNAARG.01	9818	9894	1	MT	9818	9894
SPBC887.07	SPBC887.07.1	mrpl38	3551267	3551891	1	II	3551267	3551891
SPCC24B10.16c	SPCC24B10.16c.1	SPCC24B10.16c	927629	930409	-1	III	927629	930409
SPMITTRNAPHE.01	SPMITTRNAPHE.01.1	SPMITTRNAPHE.01	14159	14230	1	MT	14159	14230
SPBC887.08	SPBC887.08.1	SPBC887.08	3551930	3552732	1	II	3551930	3552732
SPNCRNA.1615	SPNCRNA.1615.1	pus2-antisense-1	3559167	3560896	-1	II	3559167	3560896
SPAC24H6.05	SPAC24H6.05.1	cdc25	479228	482556	-1	I	479228	482556
SPCC24B10.19c	SPCC24B10.19c.1	nts1	932737	935154	-1	III	932737	935154
SPMITTRNAASP.01	SPMITTRNAASP.01.1	SPMITTRNAASP.01	14238	14308	1	MT	14238	14308
SPBC887.12	SPBC887.12.1	SPBC887.12	3561654	3565982	1	II	3561654	3565982
SPCC24B10.20	SPCC24B10.20.1	SPCC24B10.20	937803	938567	1	III	937803	938567
SPBC887.19	SPBC887.19.1	rft1	3580145	3583740	1	II	3580145	3583740
SPAC24H6.03	SPAC24H6.03.1	cul3	485723	488811	-1	I	485723	488811
SPCPB16A4.03c	SPCPB16A4.03c.1	ade10	947597	949685	-1	III	947597	949685
SPMIT.07	SPMIT.07.1	atp6	14756	15529	1	MT	14756	15529
SPNCRNA.1619	SPNCRNA.1619.1	SPNCRNA.1619	3583984	3584969	1	II	3583984	3584969
SPNCRNA.477	SPNCRNA.477.1	SPNCRNA.477	949754	950750	1	III	949754	950750
SPNCRNA.654	SPNCRNA.654.1	SPAC24H6.02c-antisense-1	489023	489562	-1	I	489023	489562
SPMITTRNACYS.01	SPMITTRNACYS.01.1	SPMITTRNACYS.01	17082	17150	1	MT	17082	17150
SPNCRNA.47	SPNCRNA.47.1	prl47	491816	492201	-1	I	491816	492201
SPBC16D10.02	SPBC16D10.02.1	trm11	3588806	3590386	1	II	3588806	3590386
SPCPB16A4.07	SPCPB16A4.07.1	SPCPB16A4.07	955171	955906	1	III	955171	955906
SPMITTRNATYR.01	SPMITTRNATYR.01.1	SPMITTRNATYR.01	17257	17342	1	MT	17257	17342
SPCPB16A4.06c	SPCPB16A4.06c.1	SPCPB16A4.06c	956012	957627	-1	III	956012	957627
SPMITTRNAILE.02	SPMITTRNAILE.02.1	SPMITTRNAILE.02	17542	17613	1	MT	17542	17613
SPBC16D10.04c	SPBC16D10.04c.1	dna2	3592291	3597002	-1	II	3592291	3597002
SPNCRNA.1163	SPNCRNA.1163.1	SPNCRNA.1163	957698	959188	1	III	957698	959188
SPNCRNA.1165	SPNCRNA.1165.1	SPNCRNA.1165	966442	967703	-1	III	966442	967703
